Serovar,O_antigen,H1,H2,H_other,Serogroup,can_h2_be_missing,subspecies
Banalia,"6,8",b,z6,,C2-C3,False,enterica
Banana,"1,4,[5],12","m,t","[1,5]",,B,True,enterica
Banco,28,"r,i","1,7",,M,False,enterica
Bandia,35,i,"l,w",,O,False,enterica
Bandim,17,k,"1,6",,J,False,enterica
Bangkok,38,"z4,z24",-,,P,True,enterica
Bangui,"9,12",d,"e,n,z15",,D1,False,enterica
Banjul,"1,6,14,25",a,"e,n,z15",,H,False,enterica
Bardo,8,"e,h","1,2",,C2-C3,False,enterica
Bareilly,"6,7,14",y,"1,5",,C1,False,enterica
Bargny,"8,20",i,"1,5",,C2-C3,False,enterica
Barmbek,16,d,z6,,I,False,enterica
Barranquilla,16,d,"e,n,x",,I,False,enterica
Barry,54,z10,"e,n,z15",,O54,False,enterica
Basingstoke,"9,46",z35,"e,n,z15",,D2,False,enterica
Bassa,"6,8","m,t",-,,C2-C3,True,enterica
Bassadji,28,r,"1,6",,M,False,enterica
Bata,"9,12",b,"1,7",,D1,False,enterica
Batonrouge,57,b,"e,n,z15",,O57,False,enterica
Battle,16,"l,z13,z28","1,6",,I,False,enterica
Bazenheid,"8,20",z10,"1,2",,C2-C3,False,enterica
Be,"8,20",a,[z6],,C2-C3,True,enterica
Beaudesert,"[1],6,14,[25]","e,h","1,7",,H,False,enterica
Bedford,"1,3,19","l,z13,z28","e,n,z15",,E4,False,enterica
Belem,"6,8",c,"e,n,x",,C2-C3,False,enterica
Belfast,"6,8",c,"1,7",,C2-C3,False,enterica
Bellevue,8,"z4,z23","1,7",,C2-C3,False,enterica
Benfica,"3,10",b,"e,n,x",,E1,False,enterica
Benguella,40,b,z6,,R,False,enterica
Benin,"9,46",y,"1,7",,D2,False,enterica
Benue,"6,8",y,"l,w",,C2-C3,False,enterica
Bere,47,"z4,z23",z6,"[z45],[z58]",X,False,enterica
Bergedorf,"9,46","e,h","1,2",,D2,False,enterica
Bergen,47,i,"e,n,z15",,X,False,enterica
Bergues,51,z10,"1,5",,O51,False,enterica
Berkeley,43,a,"1,5",,U,False,enterica
Berlin,17,d,"1,5",,J,False,enterica
Berta,"1,9,12","[f],g,[t]",-,,D1,True,enterica
Bessi,"3,10",i,"e,n,x",,E1,False,enterica
Bethune,"1,3,19",k,"1,7",,E4,False,enterica
Biafra,"3,10",z10,z6,,E1,False,enterica
Bida,"1,3,19",c,"1,6",,E4,False,enterica
Bietri,30,y,"1,5",,N,False,enterica
Bignona,17,b,"e,n,z15",,J,False,enterica
Bijlmer,"1,40","g,m",-,,R,True,enterica
Bilu,"1,3,10,19","f,g,t","1,(2),7",,E4,False,enterica
Binche,47,"z4,z23","l,w",,X,False,enterica
Bingerville,47,z35,"e,n,z15",,X,False,enterica
Binningen,45,"g,s,t",-,,W,True,enterica
Birkenhead,"6,7",c,"1,6",,C1,False,enterica
Birmingham,"3,{10}{15}",d,"l,w",,E1,False,enterica
Bispebjerg,"1,4,[5],12",a,"e,n,x",,B,False,enterica
Bissau,"4,12",c,"e,n,x",,B,False,enterica
Blancmesnil,"4,12","l,w","e,n,z15",,B,False,enterica
Blegdam,"9,12","g,m,q",-,,D1,True,enterica
Blijdorp,"1,6,14,25",c,"1,5",,H,False,enterica
Blitta,47,y,"e,n,x",,X,False,enterica
Blockley,"6,8",k,"1,5",[z58],C2-C3,False,enterica
Bloomsbury,"3,10","g,t","1,5",,E1,False,enterica
Blukwa,"6,14,18","z4,z24",-,,K,True,enterica
Bobo,44,d,"1,5",,V,False,enterica
Bochum,"1,4,[5],12",r,"l,w",,B,False,enterica
Bodjonegoro,30,"z4,z24",-,,N,True,enterica
Boecker,"[1],6,14,[25]","l,v","1,7",,H,False,enterica
Bofflens,41,"z4,z23","1,7",,S,False,enterica
Bokanjac,28,b,"1,7",,M,False,enterica
Bolama,44,z,"e,n,x",,V,False,enterica
Bolombo,"3,10",z38,[z6],,E1,True,enterica
Bolton,"3,10",y,"e,n,z15",,E1,False,enterica
Bonames,17,a,"1,2",,J,False,enterica
Bonariensis,"6,8",i,"e,n,x",,C2-C3,False,enterica
Bonn,"6,7","l,v","e,n,x",,C1,False,enterica
Bootle,47,k,"1,5",,X,False,enterica
Borbeck,"13,22","l,v","1,6",,G,False,enterica
Bordeaux,52,k,"1,5",,O52,False,enterica
Borreze,54,"f,g,s",-,,O54,True,enterica
Borromea,42,i,"1,6",,T,False,enterica
Bouake,16,z,z6,,I,False,enterica
Bournemouth,"9,12","e,h","1,2",,D1,False,enterica
Bousso,"1,6,14,25","z4,z23","[e,n,z15]",,H,True,enterica
Bovismorbificans,"6,8,20","r,[i]","1,5",[R1…],C2-C3,False,enterica
Brackenridge,44,z,"1,5",,V,False,enterica
Bracknell,"13,23",b,"1,6",,G,False,enterica
Bradford,"4,12,[27]",r,"1,5",,B,False,enterica
Braenderup,"6,7,14","e,h","e,n,z15",,C1,False,enterica
Brancaster,"1,4,12,27",z29,-,,B,True,enterica
Brandenburg,"4,[5],12","l,v","e,n,z15",,B,False,enterica
Brazil,16,a,"1,5",,I,False,enterica
Brazos,"6,14,18",a,"e,n,z15",,K,False,enterica
Brazzaville,"6,7",b,"1,2",,C1,False,enterica
Breda,"6,8","z4,z23","e,n,x",,C2-C3,False,enterica
Bredeney,"1,4,12,27","l,v","1,7",[z40],B,False,enterica
Brefet,44,r,"e,n,z15",,V,False,enterica
Breukelen,"6,8","l,z13,[z28]","e,n,z15",,C2-C3,False,enterica
Brevik,16,z,"e,n,[x],z15",,I,False,enterica
Brezany,"1,4,12,27",d,"1,6",,B,False,enterica
Brijbhumi,11,i,"1,5",,F,False,enterica
Brikama,"8,20","r,[i]","l,w",,C2-C3,False,enterica
Brindisi,11,c,"1,6",,F,False,enterica
Brisbane,28,z,"e,n,z15",,M,False,enterica
Bristol,"13,22",z,"1,7",,G,False,enterica
Brive,"1,42",r,"l,w",,T,False,enterica
Broc,42,"z4,z23","e,n,z15",,T,False,enterica
Bron,"13,22","g,m","[e,n,z15]",,G,True,enterica
Bronx,"6,8",c,"1,6",,C2-C3,False,enterica
Brooklyn,16,"l,w","e,n,x",,I,False,enterica
Broughton,"1,3,19",b,"l,w",,E4,False,enterica
Bruck,"6,7",z,"l,w",,C1,False,enterica
Bruebach,39,"e,h","1,2",,Q,False,enterica
Brunei,"8,20",y,"1,5",,C2-C3,False,enterica
Brunflo,16,r,"1,7",,I,False,enterica
Bsilla,"6,8",r,"1,2",,C2-C3,False,enterica
Buckeye,48,d,-,[z58],Y,True,enterica
Budapest,"1,4,12,[27]","g,t",-,,B,True,enterica
Bukavu,"1,40","l,z28","1,5",,R,False,enterica
Bukuru,"6,8",b,"l,w",,C2-C3,False,enterica
Bulgaria,"6,8",y,"1,6",,C2-C3,False,enterica
Bullbay,11,"l,v","e,n,z15",,F,False,enterica
Bulovka,"6,7",z44,-,,C1,True,enterica
Burgas,16,"l,v","e,n,z15",,I,False,enterica
Burundi,41,a,-,,S,True,enterica
Bury,"4,12,27",c,z6,,B,False,enterica
Businga,"6,7",z,"e,n,z15",,C1,False,enterica
Butantan,"3,{10}{15}{15,34}",b,"1,5",,E1,False,enterica
Butare,52,"e,h","1,6",,O52,False,enterica
Buzu,"[1],6,14,[25]",i,"1,7",,H,False,enterica
Caen,16,d,"l,w",[z82],I,False,enterica
Cairina,"3,10",z35,z6,,E1,False,enterica
Cairns,45,k,"e,n,z15",,W,False,enterica
Calabar,"1,3,19","e,h","l,w",,E4,False,enterica
California,"4,12","g,m,t",[z67],,B,True,enterica
Camberene,35,z10,"1,5",,O,False,enterica
Camberwell,"9,12",r,"1,7",,D1,False,enterica
Campinense,"9,12",r,"e,n,z15",,D1,False,enterica
Canada,"4,12,[27]",b,"1,6",,B,False,enterica
Canary,40,"l,v","1,6",,R,False,enterica
Cannobio,28,"z4,z23","1,5",,M,False,enterica
Cannonhill,"1,3,{10},{15},19",y,"e,n,x",,E4,False,enterica
Cannstatt,"1,3,19","m,t",-,,E4,True,enterica
Canton,54,z10,"e,n,x",,O54,False,enterica
Caracas,"[1],6,14,[25]","g,m,s",-,,H,True,enterica
Cardoner,16,"g,s,t",-,,I,True,enterica
Carmel,17,"l,v","e,n,x",,J,False,enterica
Carnac,18,z10,z6,,K,False,enterica
Carno,"1,3,19",z,"l,w",,E4,False,enterica
Carpentras,38,z35,"e,n,z15",,P,False,enterica
Carrau,"6,14,[24]",y,"1,7",,H,False,enterica
Carswell,44,"g,z51",-,,V,True,enterica
Casablanca,45,k,"1,7",,W,False,enterica
Casamance,40,z,"e,n,x",,R,False,enterica
Catalunia,28,"l,z13,z28","1,5",,M,False,enterica
Catanzaro,"6,14","g,s,t",-,,H,True,enterica
Catumagos,"1,3,19",z35,"1,5",,E4,False,enterica
Cayar,"6,7",z,"e,n,x",,C1,False,enterica
Cerro,"6,14,18","z4,z23","[1,5]","[z45],[z82]",K,True,enterica
Ceyco,"9,46",k,z35,,D2,False,enterica
Chagoua,"1,13,23",a,"1,5",,G,False,enterica
Chailey,"6,8","z4,z23","[e,n,z15]",,C2-C3,True,enterica
Champaign,39,k,"1,5",[z48],Q,False,enterica
Chandans,11,d,"[e,n,x]",[r],F,True,enterica
Charity,"[1],6,14,[25]",d,"e,n,x",,H,False,enterica
Charlottenburg,"6,8",k,"e,n,z15",,C2-C3,False,enterica
Chartres,"1,4,12","e,h","l,w",,B,False,enterica
Cheltenham,"9,46",b,"1,5",,D2,False,enterica
Chennai,"4,12",d,z35,,B,False,enterica
Chester,"1,4,[5],12","e,h","e,n,x",,B,False,enterica
Chicago,28,"r,[i]","1,5",,M,False,enterica
Chichester,"1,3,19",i,"1,6",,E4,False,enterica
Chichiri,"6,14,24","z4,z24",-,,H,True,enterica
Chile,"6,7",z,"1,2",,C1,False,enterica
Chincol,"6,8","g,m,[s]","[e,n,x]",,C2-C3,True,enterica
Chingola,11,"e,h","1,2",,F,False,enterica
Chiredzi,11,c,"1,5",,F,False,enterica
Chittagong,"1,3,10,19",b,z35,,E4,False,enterica
Choleraesuis,"6,7",c,"1,5",,C1,False,enterica
Chomedey,"8,20",z10,"e,n,z15",,C2-C3,False,enterica
Christiansborg,44,"z4,z24",-,,V,True,enterica
Clackamas,"4,12","l,v","1,6",,B,False,enterica
Claibornei,"1,9,12",k,"1,5",,D1,False,enterica
Clanvillian,11,r,"e,n,z15",,F,False,enterica
Clerkenwell,"3,10",z,"l,w",,E1,False,enterica
Cleveland,"6,8",z10,"1,7",,C2-C3,False,enterica
Clontarf,"9,46",k,"1,6",,D2,False,enterica
Cochin,"9,46",k,"1,5",,D2,False,enterica
Cochise,18,b,"1,7",,K,False,enterica
Cocody,"8,20","r,i","e,n,z15",,C2-C3,False,enterica
Coeln,"1,4,[5],12",y,"1,2",,B,False,enterica
Coleypark,"6,7,14",a,"l,w",,C1,False,enterica
Colindale,"6,7",r,"1,7",,C1,False,enterica
Colobane,11,k,"1,7",,F,False,enterica
Colombo,38,y,"1,6",,P,False,enterica
Colorado,"6,7","l,w","1,5",,C1,False,enterica
Concord,"6,7","l,v","1,2",,C1,False,enterica
Connecticut,11,"l,z13,z28","1,5",,F,False,enterica
Coogee,42,"l,v","e,n,z15",,T,False,enterica
Coquilhatville,"3,10",z10,"1,7",,E1,False,enterica
Coromandel,"6,7","l,v",z35,,C1,False,enterica
Corvallis,"8,20","z4,z23",[z6],,C2-C3,True,enterica
Cotham,28,i,"1,5",,M,False,enterica
Cotia,18,-,"1,6",,K,False,enterica
Cotonou,"6,7",c,z6,,C1,False,enterica
Cremieu,"6,8","e,h","1,6",[R1…],C2-C3,False,enterica
Crewe,11,z,"1,5",,F,False,enterica
Croft,28,"g,m,s","[e,n,z15]",,M,True,enterica
Crossness,67,r,"1,2",,O67,False,enterica
Cubana,"1,13,23",z29,-,"[z37],[z43]",G,True,enterica
Cuckmere,"3,10",i,"1,2",,E1,False,enterica
Cullingworth,28,d,"l,w",,M,False,enterica
Cumberland,39,i,"e,n,x",,Q,False,enterica
Curacao,"6,8",a,"1,6",,C2-C3,False,enterica
Cyprus,"6,8",i,"l,w",,C2-C3,False,enterica
Czernyring,54,r,"1,5",,O54,False,enterica
Daarle,"6,8",y,"e,n,x",,C2-C3,False,enterica
Dabou,"8,20","z4,z23","l,w",,C2-C3,False,enterica
Dadzie,51,"l,v","e,n,x",,O51,False,enterica
Dahlem,48,k,"e,n,z15",,Y,False,enterica
Dahomey,47,k,"1,6",[z58],X,False,enterica
Dahra,17,b,"1,5",,J,False,enterica
Dakar,28,a,"1,6",,M,False,enterica
Dakota,16,z35,"e,n,z15",,I,False,enterica
Dallgow,"1,3,19",z10,"e,n,z15",,E4,False,enterica
Damman,"6,7,14",a,z6,,C1,False,enterica
Dan,51,k,"e,n,z15",,O51,False,enterica
Dapango,47,r,"1,2",,X,False,enterica
Daula,"8,20",z,z6,,C2-C3,False,enterica
Daytona,"6,7",k,"1,6",,C1,False,enterica
Deckstein,"9,46",r,"1,7",,D2,False,enterica
Delan,39,y,"e,n,z15",,Q,False,enterica
Delmenhorst,18,z71,-,,K,True,enterica
Dembe,35,d,"l,w",[z58],O,False,enterica
Demerara,"13,23",z10,"l,w",,G,False,enterica
Denver,"6,7",a,"e,n,z15",,C1,False,enterica
Derby,"1,4,[5],12","f,g","[1,2]",,B,True,enterica
Derkle,52,"e,h","1,7",,O52,False,enterica
Dessau,"1,3,15,19","g,s,t",-,,E4,True,enterica
Detmold,"9,46",a,"1,2",,D2,False,enterica
Deversoir,45,c,"e,n,x",,W,False,enterica
Dibra,28,a,z6,,M,False,enterica
Dietrichsdorf,39,"m,t",-,,Q,True,enterica
Dieuppeul,28,i,"1,7",,M,False,enterica
Diguel,"1,13,22",d,"e,n,z15",,G,False,enterica
Dingiri,17,z,"1,6",,J,False,enterica
Diogoye,"8,20",z41,z6,,C2-C3,False,enterica
Diourbel,21,i,"1,2",,L,False,enterica
Djakarta,48,"z4,z24",-,,Y,True,enterica
Djama,"1,42",z29,"[1,5]",,T,True,enterica
Djelfa,8,b,"1,2",,C2-C3,False,enterica
Djermaia,28,z29,-,,M,True,enterica
Djibouti,17,z10,"e,n,x",,J,False,enterica
Djinten,51,"m,t",-,,O51,True,enterica
Djugu,"6,7",z10,"e,n,x",,C1,False,enterica
Doba,"9,46",a,"e,n,z15",,D2,False,enterica
Doel,28,z,"1,6",,M,False,enterica
Doncaster,"6,8",a,"1,5",,C2-C3,False,enterica
Donna,30,"l,v","1,5",,N,False,enterica
Doorn,28,i,"1,2",,M,False,enterica
Dortmund,"3,10",z41,"1,[2],5",,E1,False,enterica
Douala,28,i,"l,w",,M,False,enterica
Dougi,50,y,"1,6",,Z,False,enterica
Doulassame,30,a,"e,n,z15",,N,False,enterica
Drac,47,"l,v","e,n,x",,X,False,enterica
Dresden,28,c,"e,n,x",,M,False,enterica
Driffield,"1,40",d,"1,5",,R,False,enterica
Drogana,"1,4,12,27","r,[i]","e,n,z15",,B,False,enterica
Dublin,"1,9,12[Vi]","g,p",-,,D1,True,enterica
Duesseldorf,"6,8","z4,z24",-,,C2-C3,True,enterica
Dugbe,45,d,"1,6",,W,False,enterica
Duisburg,"1,4,12,[27]",d,"e,n,z15","[e,h]",B,False,enterica
Dumfries,"3,10","r,i","1,6",,E1,False,enterica
Dunkwa,"6,8",d,"1,7",,C2-C3,False,enterica
Durban,"1,9,12",a,"e,n,z15",,D1,False,enterica
Durham,"13,23",b,"e,n,z15",,G,False,enterica
Duval,"1,40",b,"e,n,z15",,R,False,enterica
Ealing,35,"g,m,s",-,,O,True,enterica
Eastbourne,"1,9,12","e,h","1,5",,D1,False,enterica
Eastglam,"1,3,19",c,"1,5",,E4,False,enterica
Eaubonne,18,"g,s,t",-,,K,True,enterica
Eberswalde,28,c,"1,6",,M,False,enterica
Eboko,"6,8",b,"1,7",,C2-C3,False,enterica
Ebrie,35,"g,m,t",-,,O,True,enterica
Echa,38,k,"1,2",,P,False,enterica
Ede,43,b,"e,n,z15",,U,False,enterica
Edinburg,"6,7,14",b,"1,5",,C1,False,enterica
Edmonton,"6,8","l,v","e,n,z15",,C2-C3,False,enterica
Egusi,41,d,"1,5",,S,False,enterica
Egusitoo,"1,42",b,z6,,T,False,enterica
Eingedi,"6,7","f,g,t","1,2,7",,C1,False,enterica
Eko,"4,12","e,h","1,6",,B,False,enterica
Ekotedo,"9,46","z4,z23",-,,D2,True,enterica
Ekpoui,47,z29,-,,X,True,enterica
Elbeuf,44,b,"e,n,x",,V,False,enterica
Elisabethville,"3,{10}{15}",r,"1,7",,E1,False,enterica
Elokate,"9,12",c,"1,7",,D1,False,enterica
Elomrane,"1,9,12",z38,-,,D1,True,enterica
Emek,"8,20","g,m,s",-,,C2-C3,True,enterica
Emmastad,38,r,"1,6",,P,False,enterica
Encino,"1,6,14,25",d,"l,z13,z28",,H,False,enterica
Enschede,35,z10,"l,w",,O,False,enterica
Entebbe,"1,4,12,27",z,z6,,B,False,enterica
Enteritidis,"1,9,12","g,m",-,,D1,True,enterica
Enugu,16,"l,[z13],z28","[1,5]",,I,True,enterica
Epalinges,43,"l,w",[z44],,U,True,enterica
Epicrates,"3,10",b,"l,w",,E1,False,enterica
Epinay,11,a,"l,z13,z28",,F,False,enterica
Eppendorf,"1,4,12,[27]",d,"1,5",,B,False,enterica
Erfurt,11,b,z6,,F,False,enterica
Escanaba,"6,7",k,"e,n,z15",,C1,False,enterica
Eschberg,"9,12",d,"1,7",,D1,False,enterica
Eschweiler,"6,7",z10,"1,6",,C1,False,enterica
Essen,"4,12","g,m",-,,B,True,enterica
Essingen,16,"l,w",z6,,I,False,enterica
Etterbeek,11,"z4,z23","e,n,z15",,F,False,enterica
Euston,11,"r,i","e,n,x,z15",,F,False,enterica
Everleigh,"3,10",z29,"e,n,x",,E1,False,enterica
Evry,35,i,z6,,O,False,enterica
Ezra,28,z,"1,7",,M,False,enterica
Fairfield,28,r,"l,w",,M,False,enterica
Fajara,28,"l,z28","e,n,x",,M,False,enterica
Faji,"1,42",a,"e,n,z15",,T,False,enterica
Falkensee,"3,{10}{15}",i,"e,n,z15",,E1,False,enterica
Fallowfield,"3,10","l,z13,z28","e,n,z15",,E1,False,enterica
Fann,11,"l,v","e,n,x",,F,False,enterica
Fanti,"13,23",z38,-,,G,True,enterica
Farakan,28,z10,"1,5",,M,False,enterica
Farcha,43,y,"1,2",,U,False,enterica
Fareham,"1,3,19","r,i","l,w",,E4,False,enterica
Farmingdale,43,"z4,z23","[1,2]",,U,True,enterica
Farmsen,"13,23",z,"1,6",,G,False,enterica
Farsta,"4,12",i,"e,n,x",,B,False,enterica
Fass,50,"l,v","1,2",,Z,False,enterica
Fayed,"6,8","l,w","1,2",,C2-C3,False,enterica
Fehrbellin,47,"z4,z23","1,6",,X,False,enterica
Ferlo,41,k,"1,6",,S,False,enterica
Ferruch,8,"e,h","1,5",,C2-C3,False,enterica
Fillmore,"6,8","e,h","e,n,x",,C2-C3,False,enterica
Finaghy,"4,12",y,"1,6",,B,False,enterica
Findorff,11,d,z6,,F,False,enterica
Finkenwerder,"[1],6,14,[25]",d,"1,5",,H,False,enterica
Fischerhuette,16,a,"e,n,z15",,I,False,enterica
Fischerkietz,"1,6,14,25",y,"e,n,x",,H,False,enterica
Fischerstrasse,44,d,"e,n,z15",,V,False,enterica
Fitzroy,48,"e,h","1,5",,Y,False,enterica
Florian,"3,{10}{15}","z4,z24",-,,E1,True,enterica
Florida,"[1],6,14,[25]",d,"1,7",,H,False,enterica
Flottbek,52,b,"e,n,x",,O52,False,enterica
Fluntern,"6,14,18",b,"1,5",,K,False,enterica
Fomeco,45,b,"e,n,z15",,W,False,enterica
Fortlamy,16,z,"1,6",,I,False,enterica
Fortune,"1,4,12,[27]",z10,z6,,B,False,enterica
Franken,"9,12",z6,z67,,D1,False,enterica
Frankfurt,16,i,"e,n,z15",,I,False,enterica
Frederiksberg,"1,42",b,"l,w",,T,False,enterica
Freefalls,28,b,"l,w",,M,False,enterica
Freetown,38,y,"1,5",,P,False,enterica
