Serovar,O_antigen,H1,H2,H_other,Serogroup,can_h2_be_missing,subspecies
Aachen,17,z35,"1,6",,J,False,enterica
Aarhus,18,"z4,z23",z64,,K,False,enterica
Aba,"6,8",i,"e,n,z15",,C2-C3,False,enterica
Abadina,28,"g,m","[e,n,z15]",,M,True,enterica
Abaetetuba,11,k,"1,5",,F,False,enterica
Aberdeen,11,i,"1,2",,F,False,enterica
Abidjan,39,b,"l,w",,Q,False,enterica
Ablogame,16,"l,z13,z28",z6,,I,False,enterica
Abobo,16,i,z6,,I,False,enterica
Abony,"1,4,[5],12,[27]",b,"e,n,x",,B,False,enterica
Abortusequi,"4,12",-,"e,n,x",,B,False,enterica
Abortusovis,"4,12",c,"1,6",,B,False,enterica
Abuja,11,"g,m","1,5",,F,False,enterica
Accra,"1,3,19",b,z6,,E4,False,enterica
Ackwepe,"9,46","l,w",-,,D2,True,enterica
Adabraka,"3,10","z4,z23","[1,7]",,E1,True,enterica
Adamstown,28,k,"1,6",,M,False,enterica
Adamstua,11,"e,h","1,6",,F,False,enterica
Adana,43,z10,"1,5",,U,False,enterica
Adelaide,35,"f,g",-,[z27],O,True,enterica
Adeoyo,16,"g,m,[t]",-,,I,True,enterica
Aderike,28,z38,"e,n,z15",,M,False,enterica
Adime,"6,7",b,"1,6",,C1,False,enterica
Adjame,"13,23",r,"1,6",,G,False,enterica
Aequatoria,"6,7","z4,z23","e,n,z15",,C1,False,enterica
Aesch,"6,8",z60,"1,2",,C2-C3,False,enterica
Aflao,"1,6,14,25","l,z28","e,n,x",,H,False,enterica
Africana,"4,12","r,i","l,w",,B,False,enterica
Afula,"6,7","f,g,t","e,n,x",,C1,False,enterica
Agama,"4,12",i,"1,6",,B,False,enterica
Agbara,16,i,"1,6",,I,False,enterica
Agbeni,"1,13,23","g,m,[s],[t]",-,,G,True,enterica
Agege,"3,10",c,"e,n,z15",,E1,False,enterica
Ago,30,z38,-,,N,True,enterica
Agodi,35,"g,t",-,,O,True,enterica
Agona,"1,4,[5],12","f,g,s","[1,2]","[z27],[z45]",B,True,enterica
"I 4,[5],12:d:-","4,[5],12",d,-,,B,True,enterica
Agoueve,"13,22",z29,-,,G,True,enterica
Ahanou,17,i,"1,7",,J,False,enterica
Ahepe,43,z35,"1,6",,U,False,enterica
Ahmadi,"1,3,19",d,"1,5",,E4,False,enterica
Ahoutoue,41,z35,"1,6",,S,False,enterica
Ahuza,43,k,"1,5",,U,False,enterica
Ajiobo,"13,23","z4,z23",-,,G,True,enterica
Akanji,"6,8",r,"1,7",,C2-C3,False,enterica
Akuafo,16,y,"1,6",,I,False,enterica
Alabama,"9,12",c,"e,n,z15",,D1,False,enterica
Alachua,35,"z4,z23",-,"[z37],[z45]",O,True,enterica
Alagbon,"8,20",y,"1,7",,C2-C3,False,enterica
Alamo,"6,7","g,z51","1,5",,C1,False,enterica
Albany,"8,20","z4,z24",-,[z45],C2-C3,True,enterica
Albert,"4,12",z10,"e,n,x",,B,False,enterica
Albertbanjul,44,r,"1,5",,V,False,enterica
Albertslund,"3,10",z38,"1,6",,E1,False,enterica
Albuquerque,"1,6,14,24",d,z6,,H,False,enterica
Alexanderplatz,47,z38,-,,X,True,enterica
Alexanderpolder,8,c,"l,w",,C2-C3,False,enterica
Alfort,"3,10","f,g","e,n,x",,E1,False,enterica
Alger,38,"l,v","1,2",,P,False,enterica
Alkmaar,"1,3,19",a,"l,w",,E4,False,enterica
Allandale,"1,40",k,"1,6",,R,False,enterica
Allerton,"3,10",b,"1,6",,E1,False,enterica
Alma,39,i,"e,n,z15",,Q,False,enterica
Alminko,"8,20","g,s,t",-,,C2-C3,True,enterica
Alpenquai,"6,14","l,v","e,n,z15",,H,False,enterica
Altendorf,"4,12,[27]",c,"1,7",,B,False,enterica
Altona,"8,20","r,[i]",z6,,C2-C3,False,enterica
Amager,"3,{10}{15}",y,"1,2",[z45],E1,False,enterica
Amba,11,k,"l,z13,z28",,F,False,enterica
Amberg,"6,14,24","l,v","1,7",,H,False,enterica
Amersfoort,"6,7,14",d,"e,n,x",,C1,False,enterica
Amherstiana,8,"l,v","1,6",,C2-C3,False,enterica
Amina,16,i,"1,5",,I,False,enterica
Aminatu,"3,10",a,"1,2",,E1,False,enterica
Amounderness,"3,10",i,"1,5",,E1,False,enterica
Amoutive,28,d,"1,5",,M,False,enterica
Amsterdam,"3,{10}{15}{15,34}","g,m,s",-,,E1,True,enterica
Amunigun,16,a,"1,6",,I,False,enterica
Anatum,"3,{10}{15}{15,34}","e,h","1,6",[z64],E1,False,enterica
Anderlecht,"3,10",c,"l,w",,E1,False,enterica
Anecho,35,"g,s,t",-,,O,True,enterica
Anfo,39,y,"1,2",,Q,False,enterica
Angers,"8,20",z35,z6,,C2-C3,False,enterica
Angoda,30,k,"e,n,x",,N,False,enterica
Angouleme,16,z10,z6,,I,False,enterica
Ank,28,k,"e,n,z15",,M,False,enterica
Anna,"13,23",z35,"e,n,z15",,G,False,enterica
Annedal,16,"r,i","e,n,x",,I,False,enterica
Antarctica,"9,12","g,z63",-,,D1,True,enterica
Antonio,57,a,z6,,O57,False,enterica
Antsalova,51,z,"1,5",,O51,False,enterica
Antwerpen,"1,42",c,"e,n,z15",,T,False,enterica
Apapa,45,"m,t",-,,W,True,enterica
Apeyeme,"8,20",z38,-,,C2-C3,True,enterica
Aprad,45,z10,-,,W,True,enterica
Aqua,30,k,"1,6",,N,False,enterica
Aragua,30,z29,-,,N,True,enterica
Arapahoe,"6,14","z4,z23","1,5",,H,False,enterica
Arechavaleta,"4,[5],12",a,"1,7",,B,False,enterica
Argenteuil,"1,9,46",c,"1,7",,D2,False,enterica
Arusha,43,z,"e,n,z15",,U,False,enterica
Aschersleben,30,b,"1,5",,N,False,enterica
Ashanti,28,b,"1,6",,M,False,enterica
Assen,21,a,"[1,5]",,L,True,enterica
Assinie,"3,10","l,w",z6,[z45],E1,False,enterica
Astridplein,16,"e,h","1,6",,I,False,enterica
Asylanta,"3,10",c,"1,2",,E1,False,enterica
Atakpame,"8,20","e,h","1,7",,C2-C3,False,enterica
Atento,11,b,"1,2",,F,False,enterica
Athens,"1,40","g,m,s","e,n,x",,R,False,enterica
Athinai,"6,7",i,"e,n,z15",,C1,False,enterica
Ati,11,d,"1,2",,F,False,enterica
Augustenborg,"6,7,14",i,"1,2",,C1,False,enterica
Aurelianis,"9,12",z,"e,n,z15",,D1,False,enterica
Austin,"6,7",a,"1,7",,C1,False,enterica
Australia,48,"l,v","1,5",,Y,False,enterica
Avignon,16,y,"e,n,z15",,I,False,enterica
Avonmouth,"1,3,19",i,"e,n,z15",,E4,False,enterica
Axim,16,"z4,z23",z6,,I,False,enterica
Ayinde,"1,4,12,27",d,z6,,B,False,enterica
Ayton,"1,4,12,27","l,w",z6,,B,False,enterica
Azteca,"4,[5],12,[27]","l,v","1,5",,B,False,enterica
Babelsberg,28,"z4,z23","[e,n,z15]",,M,True,enterica
Babili,28,z35,"1,7",,M,False,enterica
Badagry,16,z10,"1,5",,I,False,enterica
Baguida,21,"z4,z23",-,,L,True,enterica
Baguirmi,30,y,"e,n,x",,N,False,enterica
Bahati,"13,22",b,"e,n,z15",,G,False,enterica
Bahrenfeld,"6,14,[24]","e,h","1,5",,H,False,enterica
Baiboukoum,"6,7",k,"1,7",,C1,False,enterica
Baildon,"9,46",a,"e,n,x",,D2,False,enterica
Bakau,28,a,"1,7",,M,False,enterica
Balcones,45,z36,-,,W,True,enterica
Ball,"1,4,[5],12,[27]",y,"e,n,x",,B,False,enterica
Bama,17,"m,t",-,,J,True,enterica
Bamboye,"9,46",b,"l,w",,D2,False,enterica
Bambylor,"9,46",z,"e,n,z15",,D2,False,enterica
