Mon Aug 1 08:45:00 CLST 2016,,,,,,,,,,,,,,,
MAPPINGS IV HII Region Grid: fetched from pyqz 0.6.2,,,,,,,,,,,,,,,
Run: outdated MIV grid updated to match grid format from MAPPINGS V [use only if you know what you are doing!],,,,,,,,,,,,,,,
LogQ(1),Tot[O]+12(2),gas[O]+12(3),Tot[Fe](4),gas[Fe](5),LogP/k(6),[OIII]/Hb,[OI]/Ha,[NII]/Ha,[SII]+/Ha,[OIII]/[OII]+,[OIII]/[NII],[OIII]/[SII]+,[NII]/[SII]+,[SIII]/[SII]+,[NII]/[OII]+
7.25,8.99,8.99,-1,-1,5,-0.187,-1.898,-0.646,-0.661,-0.668,-0.023,-0.009,0.015,0.13,-0.645
7,8.99,8.99,-1,-1,5,-0.496,-1.751,-0.594,-0.518,-1.002,-0.385,-0.461,-0.076,-0.064,-0.617
6.75,8.99,8.99,-1,-1,5,-0.9,-1.607,-0.583,-0.396,-1.393,-0.8,-0.987,-0.187,-0.274,-0.592
6.5,8.99,8.99,-1,-1,5,-1.365,-1.475,-0.601,-0.301,-1.819,-1.249,-1.549,-0.3,-0.489,-0.57
8.5,8.69,8.69,-1,-1,5,0.537,-2.336,-1.424,-1.293,0.389,1.482,1.352,-0.131,0.668,-1.093
8.25,8.69,8.69,-1,-1,5,0.516,-2.32,-1.394,-1.263,0.339,1.431,1.301,-0.13,0.654,-1.091
8,8.69,8.69,-1,-1,5,0.479,-2.285,-1.338,-1.206,0.251,1.338,1.206,-0.132,0.618,-1.088
7.75,8.69,8.69,-1,-1,5,0.411,-2.219,-1.252,-1.113,0.106,1.184,1.045,-0.139,0.542,-1.077
7.5,8.69,8.69,-1,-1,5,0.289,-2.115,-1.145,-0.988,-0.103,0.954,0.796,-0.158,0.415,-1.057
7.25,8.69,8.69,-1,-1,5,0.08,-1.98,-1.046,-0.846,-0.378,0.644,0.445,-0.2,0.243,-1.022
7,8.69,8.69,-1,-1,5,-0.249,-1.832,-0.986,-0.707,-0.723,0.255,-0.025,-0.279,0.037,-0.978
6.75,8.69,8.69,-1,-1,5,-0.705,-1.684,-0.983,-0.583,-1.136,-0.205,-0.605,-0.4,-0.194,-0.931
6.5,8.69,8.69,-1,-1,5,-1.259,-1.544,-1.023,-0.483,-1.605,-0.719,-1.26,-0.541,-0.441,-0.886
8.5,8.39,8.39,-1,-1,5,0.55,-2.46,-1.816,-1.425,0.509,1.889,1.497,-0.391,0.643,-1.38
8.25,8.39,8.39,-1,-1,5,0.537,-2.452,-1.801,-1.411,0.48,1.86,1.47,-0.39,0.638,-1.38
8,8.39,8.39,-1,-1,5,0.507,-2.432,-1.77,-1.38,0.419,1.799,1.409,-0.39,0.623,-1.38
7.75,8.39,8.39,-1,-1,5,0.446,-2.387,-1.712,-1.319,0.302,1.678,1.285,-0.392,0.579,-1.376
7.5,8.39,8.39,-1,-1,5,0.327,-2.304,-1.623,-1.22,0.107,1.468,1.066,-0.402,0.477,-1.361
7.25,8.39,8.39,-1,-1,5,0.116,-2.181,-1.526,-1.095,-0.171,1.157,0.726,-0.431,0.311,-1.327
7,8.39,8.39,-1,-1,5,-0.227,-2.033,-1.46,-0.961,-0.53,0.745,0.246,-0.498,0.096,-1.274
6.75,8.39,8.39,-1,-1,5,-0.714,-1.882,-1.454,-0.837,-0.962,0.251,-0.366,-0.617,-0.15,-1.213
6.5,8.39,8.39,-1,-1,5,-1.305,-1.738,-1.5,-0.731,-1.448,-0.292,-1.061,-0.769,-0.411,-1.156
8.5,8.17,8.17,-1,-1,5,0.459,-2.595,-2.121,-1.57,0.555,2.101,1.55,-0.55,0.622,-1.546
8.25,8.17,8.17,-1,-1,5,0.449,-2.59,-2.112,-1.562,0.535,2.081,1.532,-0.55,0.62,-1.546
8,8.17,8.17,-1,-1,5,0.423,-2.576,-2.092,-1.542,0.488,2.034,1.485,-0.549,0.611,-1.546
7.75,8.17,8.17,-1,-1,5,0.365,-2.544,-2.048,-1.498,0.388,1.932,1.381,-0.55,0.582,-1.544
7.5,8.17,8.17,-1,-1,5,0.249,-2.474,-1.973,-1.415,0.206,1.737,1.179,-0.558,0.497,-1.531
7.25,8.17,8.17,-1,-1,5,0.036,-2.359,-1.879,-1.297,-0.072,1.427,0.845,-0.582,0.338,-1.499
7,8.17,8.17,-1,-1,5,-0.314,-2.211,-1.809,-1.166,-0.438,1.005,0.362,-0.643,0.118,-1.443
6.75,8.17,8.17,-1,-1,5,-0.814,-2.058,-1.801,-1.041,-0.881,0.495,-0.265,-0.76,-0.136,-1.376
6.5,8.17,8.17,-1,-1,5,-1.422,-1.912,-1.848,-0.933,-1.377,-0.064,-0.98,-0.916,-0.404,-1.312
8.5,7.99,7.99,-1,-1,5,0.36,-2.711,-2.386,-1.708,0.618,2.263,1.585,-0.678,0.596,-1.645
8.25,7.99,7.99,-1,-1,5,0.35,-2.708,-2.379,-1.703,0.602,2.246,1.57,-0.677,0.596,-1.644
8,7.99,7.99,-1,-1,5,0.326,-2.698,-2.367,-1.688,0.562,2.209,1.53,-0.679,0.592,-1.647
7.75,7.99,7.99,-1,-1,5,0.27,-2.671,-2.33,-1.652,0.471,2.115,1.437,-0.678,0.57,-1.644
7.5,7.99,7.99,-1,-1,5,0.158,-2.609,-2.259,-1.576,0.297,1.93,1.247,-0.683,0.499,-1.634
7.25,7.99,7.99,-1,-1,5,-0.05,-2.5,-2.164,-1.463,0.019,1.624,0.923,-0.701,0.348,-1.604
7,7.99,7.99,-1,-1,5,-0.395,-2.353,-2.088,-1.333,-0.351,1.2,0.445,-0.755,0.128,-1.552
6.75,7.99,7.99,-1,-1,5,-0.896,-2.202,-2.074,-1.208,-0.801,0.684,-0.182,-0.866,-0.127,-1.485
6.5,7.99,7.99,-1,-1,5,-1.507,-2.057,-2.118,-1.097,-1.3,0.118,-0.903,-1.021,-0.401,-1.418
8.5,7.69,7.69,-1,-1,5,0.134,-2.948,-2.822,-1.971,0.69,2.467,1.616,-0.851,0.566,-1.777
8.25,7.69,7.69,-1,-1,5,0.124,-2.946,-2.818,-1.967,0.676,2.454,1.603,-0.851,0.565,-1.777
8,7.69,7.69,-1,-1,5,0.104,-2.938,-2.807,-1.957,0.645,2.423,1.572,-0.85,0.562,-1.778
7.75,7.69,7.69,-1,-1,5,0.05,-2.918,-2.778,-1.928,0.561,2.338,1.489,-0.849,0.549,-1.776
7.5,7.69,7.69,-1,-1,5,-0.059,-2.863,-2.715,-1.862,0.395,2.164,1.312,-0.853,0.494,-1.769
7.25,7.69,7.69,-1,-1,5,-0.26,-2.759,-2.619,-1.752,0.12,1.865,0.998,-0.867,0.351,-1.745
7,7.69,7.69,-1,-1,5,-0.597,-2.615,-2.532,-1.622,-0.255,1.44,0.53,-0.91,0.135,-1.694
6.75,7.69,7.69,-1,-1,5,-1.093,-2.464,-2.508,-1.497,-0.708,0.919,-0.092,-1.011,-0.123,-1.627
6.5,7.69,7.69,-1,-1,5,-1.708,-2.315,-2.546,-1.384,-1.214,0.344,-0.818,-1.162,-0.396,-1.559
8.5,7.39,7.39,-1,-1,5,-0.137,-3.223,-3.194,-2.254,0.71,2.567,1.626,-0.941,0.552,-1.857
8.25,7.39,7.39,-1,-1,5,-0.145,-3.221,-3.192,-2.251,0.699,2.556,1.616,-0.94,0.552,-1.857
8,7.39,7.39,-1,-1,5,-0.166,-3.215,-3.183,-2.243,0.668,2.525,1.586,-0.94,0.551,-1.857
7.75,7.39,7.39,-1,-1,5,-0.218,-3.196,-3.157,-2.218,0.591,2.448,1.508,-0.939,0.541,-1.856
7.5,7.39,7.39,-1,-1,5,-0.325,-3.145,-3.097,-2.156,0.429,2.279,1.337,-0.942,0.492,-1.849
7.25,7.39,7.39,-1,-1,5,-0.525,-3.043,-3.002,-2.048,0.155,1.981,1.027,-0.955,0.356,-1.826
7,7.39,7.39,-1,-1,5,-0.86,-2.899,-2.914,-1.918,-0.222,1.556,0.56,-0.996,0.137,-1.777
6.75,7.39,7.39,-1,-1,5,-1.356,-2.745,-2.885,-1.791,-0.677,1.032,-0.063,-1.094,-0.122,-1.709
6.5,7.39,7.39,-1,-1,5,-1.972,-2.599,-2.922,-1.678,-1.185,0.454,-0.79,-1.244,-0.396,-1.639
