Mon Aug 1 08:45:00 CLST 2016,,,,,,,,,,,,,,,
MAPPINGS IV HII Region Grid: fetched from pyqz 0.6.2,,,,,,,,,,,,,,,
Run: outdated MIV grid updated to match grid format from MAPPINGS V [use only if you know what you are doing!],,,,,,,,,,,,,,,
LogQ(1),Tot[O]+12(2),gas[O]+12(3),Tot[Fe](4),gas[Fe](5),LogP/k(6),[OIII]/Hb,[OI]/Ha,[NII]/Ha,[SII]+/Ha,[OIII]/[OII]+,[OIII]/[NII],[OIII]/[SII]+,[NII]/[SII]+,[SIII]/[SII]+,[NII]/[OII]+
8.5,9.39,9.39,-1,-1,5,-1.253,-3.114,-1.006,-1.585,-0.632,-0.775,-0.195,0.58,0.388,0.143
8.25,9.39,9.39,-1,-1,5,-1.337,-3.13,-1.017,-1.545,-0.656,-0.846,-0.317,0.529,0.328,0.19
8,9.39,9.39,-1,-1,5,-1.387,-3.087,-0.99,-1.459,-0.691,-0.92,-0.45,0.469,0.249,0.228
7.75,9.39,9.39,-1,-1,5,-1.453,-3.01,-0.946,-1.352,-0.767,-1.027,-0.621,0.406,0.149,0.259
7.5,9.39,9.39,-1,-1,5,-1.582,-2.912,-0.908,-1.246,-0.907,-1.193,-0.855,0.338,0.025,0.285
7.25,9.39,9.39,-1,-1,5,-1.815,-2.83,-0.906,-1.172,-1.115,-1.429,-1.162,0.266,-0.116,0.313
7,9.39,9.39,-1,-1,5,-2.216,-2.826,-0.992,-1.178,-1.379,-1.747,-1.562,0.186,-0.279,0.368
6.75,9.39,9.39,-1,-1,5,-2.771,-2.91,-1.178,-1.284,-1.661,-2.125,-2.019,0.106,-0.456,0.464
6.5,9.39,9.39,-1,-1,5,-3.535,-3.119,-1.51,-1.539,-1.92,-2.57,-2.54,0.03,-0.647,0.65
8.5,9.17,9.17,-1,-1,5,-0.151,-2.518,-0.911,-1.289,-0.184,0.259,0.637,0.378,0.572,-0.443
8.25,9.17,9.17,-1,-1,5,-0.174,-2.466,-0.842,-1.201,-0.257,0.169,0.528,0.359,0.519,-0.427
8,9.17,9.17,-1,-1,5,-0.206,-2.381,-0.752,-1.08,-0.357,0.05,0.378,0.328,0.439,-0.407
7.75,9.17,9.17,-1,-1,5,-0.272,-2.266,-0.652,-0.935,-0.498,-0.113,0.17,0.283,0.327,-0.385
7.5,9.17,9.17,-1,-1,5,-0.402,-2.138,-0.562,-0.783,-0.691,-0.331,-0.111,0.221,0.185,-0.36
7.25,9.17,9.17,-1,-1,5,-0.621,-2.009,-0.5,-0.641,-0.946,-0.612,-0.471,0.141,0.019,-0.335
7,9.17,9.17,-1,-1,5,-0.94,-1.894,-0.479,-0.525,-1.262,-0.952,-0.906,0.046,-0.165,-0.31
6.75,9.17,9.17,-1,-1,5,-1.343,-1.797,-0.496,-0.442,-1.624,-1.338,-1.393,-0.055,-0.358,-0.286
6.5,9.17,9.17,-1,-1,5,-1.808,-1.723,-0.546,-0.396,-2.014,-1.756,-1.906,-0.15,-0.555,-0.258
8.5,8.99,8.99,-1,-1,5,0.286,-2.328,-1.086,-1.25,0.142,0.885,1.049,0.164,0.66,-0.743
8.25,8.99,8.99,-1,-1,5,0.259,-2.299,-1.03,-1.19,0.069,0.803,0.963,0.16,0.622,-0.734
8,8.99,8.99,-1,-1,5,0.219,-2.243,-0.946,-1.094,-0.04,0.68,0.827,0.148,0.554,-0.72
7.75,8.99,8.99,-1,-1,5,0.148,-2.155,-0.841,-0.964,-0.195,0.505,0.628,0.123,0.447,-0.7
7.5,8.99,8.99,-1,-1,5,0.021,-2.036,-0.734,-0.814,-0.401,0.272,0.353,0.08,0.303,-0.673
