Mon Aug 1 08:45:00 CLST 2016,,,,,,,,,,,,,,,
MAPPINGS IV HII Region Grid: fetched from pyqz 0.6.2,,,,,,,,,,,,,,,
Run: outdated MIV grid updated to match grid format from MAPPINGS V [use only if you know what you are doing!],,,,,,,,,,,,,,,
LogQ(1),Tot[O]+12(2),gas[O]+12(3),Tot[Fe](4),gas[Fe](5),LogP/k(6),[OIII]/Hb,[OI]/Ha,[NII]/Ha,[SII]+/Ha,[OIII]/[OII]+,[OIII]/[NII],[OIII]/[SII]+,[NII]/[SII]+,[SIII]/[SII]+,[NII]/[OII]+
8.25,8.99,8.99,-1,-1,5,0.188,-2.054,-0.884,-1.067,-0.017,0.593,0.775,0.183,0.6,-0.609
8,8.99,8.99,-1,-1,5,0.161,-2.013,-0.808,-0.98,-0.098,0.491,0.663,0.172,0.547,-0.589
7.75,8.99,8.99,-1,-1,5,0.114,-1.945,-0.709,-0.858,-0.219,0.346,0.495,0.149,0.459,-0.565
7.5,8.99,8.99,-1,-1,5,0.024,-1.849,-0.602,-0.71,-0.387,0.15,0.258,0.108,0.335,-0.537
7.25,8.99,8.99,-1,-1,5,-0.137,-1.736,-0.509,-0.554,-0.612,-0.102,-0.057,0.046,0.18,-0.51
7,8.99,8.99,-1,-1,5,-0.392,-1.613,-0.448,-0.409,-0.901,-0.418,-0.457,-0.04,0.003,-0.484
6.75,8.99,8.99,-1,-1,5,-0.746,-1.491,-0.427,-0.285,-1.252,-0.793,-0.936,-0.143,-0.189,-0.459
6.5,8.99,8.99,-1,-1,5,-1.177,-1.379,-0.441,-0.189,-1.644,-1.211,-1.464,-0.253,-0.389,-0.433
8.5,8.69,8.69,-1,-1,5,0.588,-1.967,-1.192,-1.079,0.283,1.313,1.2,-0.113,0.604,-1.03
8.25,8.69,8.69,-1,-1,5,0.572,-1.956,-1.167,-1.055,0.244,1.271,1.159,-0.112,0.596,-1.027
8,8.69,8.69,-1,-1,5,0.546,-1.93,-1.118,-1.006,0.175,1.197,1.085,-0.112,0.572,-1.022
7.75,8.69,8.69,-1,-1,5,0.501,-1.876,-1.037,-0.922,0.059,1.072,0.956,-0.116,0.516,-1.013
7.5,8.69,8.69,-1,-1,5,0.423,-1.788,-0.929,-0.8,-0.114,0.885,0.756,-0.129,0.416,-1
7.25,8.69,8.69,-1,-1,5,0.286,-1.667,-0.813,-0.653,-0.348,0.633,0.473,-0.16,0.276,-0.981
7,8.69,8.69,-1,-1,5,0.061,-1.527,-0.718,-0.498,-0.644,0.314,0.094,-0.22,0.105,-0.958
6.75,8.69,8.69,-1,-1,5,-0.269,-1.38,-0.665,-0.352,-1.001,-0.07,-0.383,-0.313,-0.089,-0.932
6.5,8.69,8.69,-1,-1,5,-0.695,-1.238,-0.656,-0.225,-1.411,-0.506,-0.937,-0.431,-0.299,-0.904
8.5,8.39,8.39,-1,-1,5,0.688,-2.032,-1.523,-1.152,0.391,1.752,1.381,-0.371,0.573,-1.361
8.25,8.39,8.39,-1,-1,5,0.681,-2.026,-1.511,-1.141,0.371,1.732,1.362,-0.37,0.571,-1.361
8,8.39,8.39,-1,-1,5,0.664,-2.01,-1.484,-1.116,0.327,1.688,1.32,-0.368,0.563,-1.36
7.75,8.39,8.39,-1,-1,5,0.63,-1.975,-1.431,-1.064,0.242,1.601,1.234,-0.367,0.536,-1.359
7.5,8.39,8.39,-1,-1,5,0.564,-1.907,-1.346,-0.975,0.094,1.449,1.078,-0.37,0.469,-1.355
7.25,8.39,8.39,-1,-1,5,0.439,-1.801,-1.237,-0.852,-0.127,1.215,0.829,-0.385,0.349,-1.342
7,8.39,8.39,-1,-1,5,0.223,-1.664,-1.134,-0.709,-0.421,0.895,0.469,-0.426,0.183,-1.316
6.75,8.39,8.39,-1,-1,5,-0.112,-1.513,-1.07,-0.564,-0.786,0.494,-0.013,-0.506,-0.016,-1.279
6.5,8.39,8.39,-1,-1,5,-0.562,-1.364,-1.058,-0.432,-1.21,0.028,-0.598,-0.626,-0.238,-1.238
8.5,8.17,8.17,-1,-1,5,0.651,-2.133,-1.79,-1.263,0.433,1.982,1.454,-0.528,0.55,-1.549
8.25,8.17,8.17,-1,-1,5,0.646,-2.129,-1.784,-1.256,0.42,1.97,1.443,-0.527,0.549,-1.55
8,8.17,8.17,-1,-1,5,0.633,-2.119,-1.767,-1.241,0.39,1.94,1.414,-0.526,0.545,-1.551
7.75,8.17,8.17,-1,-1,5,0.603,-2.095,-1.731,-1.206,0.323,1.874,1.349,-0.525,0.531,-1.551
7.5,8.17,8.17,-1,-1,5,0.54,-2.043,-1.665,-1.139,0.195,1.744,1.218,-0.526,0.483,-1.548
7.25,8.17,8.17,-1,-1,5,0.417,-1.953,-1.569,-1.034,-0.014,1.523,0.988,-0.535,0.38,-1.537
7,8.17,8.17,-1,-1,5,0.198,-1.823,-1.468,-0.9,-0.309,1.201,0.633,-0.567,0.217,-1.51
6.75,8.17,8.17,-1,-1,5,-0.147,-1.673,-1.4,-0.758,-0.681,0.785,0.144,-0.641,0.013,-1.467
6.5,8.17,8.17,-1,-1,5,-0.615,-1.521,-1.385,-0.625,-1.117,0.301,-0.459,-0.76,-0.216,-1.418
8.5,7.99,7.99,-1,-1,5,0.579,-2.229,-2.036,-1.379,0.488,2.152,1.495,-0.657,0.522,-1.664
8.25,7.99,7.99,-1,-1,5,0.575,-2.224,-2.031,-1.375,0.479,2.144,1.488,-0.656,0.522,-1.664
8,7.99,7.99,-1,-1,5,0.562,-2.217,-2.018,-1.364,0.454,2.118,1.464,-0.654,0.52,-1.664
7.75,7.99,7.99,-1,-1,5,0.534,-2.2,-1.991,-1.338,0.397,2.063,1.41,-0.653,0.512,-1.665
7.5,7.99,7.99,-1,-1,5,0.474,-2.159,-1.935,-1.283,0.282,1.945,1.294,-0.651,0.478,-1.663
7.25,7.99,7.99,-1,-1,5,0.356,-2.076,-1.846,-1.188,0.082,1.736,1.079,-0.658,0.387,-1.655
7,7.99,7.99,-1,-1,5,0.142,-1.953,-1.743,-1.06,-0.212,1.417,0.735,-0.682,0.23,-1.629
6.75,7.99,7.99,-1,-1,5,-0.201,-1.805,-1.667,-0.92,-0.589,0.997,0.25,-0.747,0.025,-1.586
6.5,7.99,7.99,-1,-1,5,-0.672,-1.654,-1.648,-0.786,-1.03,0.505,-0.357,-0.861,-0.206,-1.534
8.5,7.69,7.69,-1,-1,5,0.375,-2.446,-2.45,-1.623,0.551,2.358,1.531,-0.827,0.487,-1.807
8.25,7.69,7.69,-1,-1,5,0.371,-2.442,-2.45,-1.62,0.544,2.354,1.524,-0.83,0.487,-1.81
8,7.69,7.69,-1,-1,5,0.36,-2.437,-2.442,-1.613,0.525,2.335,1.506,-0.828,0.487,-1.81
7.75,7.69,7.69,-1,-1,5,0.332,-2.427,-2.423,-1.596,0.477,2.287,1.46,-0.827,0.482,-1.811
7.5,7.69,7.69,-1,-1,5,0.276,-2.393,-2.375,-1.552,0.375,2.183,1.36,-0.823,0.462,-1.808
7.25,7.69,7.69,-1,-1,5,0.164,-2.321,-2.294,-1.467,0.185,1.988,1.162,-0.827,0.387,-1.803
7,7.69,7.69,-1,-1,5,-0.042,-2.202,-2.188,-1.345,-0.106,1.675,0.832,-0.843,0.237,-1.781
6.75,7.69,7.69,-1,-1,5,-0.378,-2.056,-2.104,-1.207,-0.486,1.253,0.356,-0.897,0.035,-1.739
6.5,7.69,7.69,-1,-1,5,-0.848,-1.905,-2.075,-1.073,-0.932,0.753,-0.249,-1.002,-0.197,-1.685
8.5,7.39,7.39,-1,-1,5,0.112,-2.714,-2.817,-1.899,0.567,2.459,1.541,-0.918,0.474,-1.892
8.25,7.39,7.39,-1,-1,5,0.108,-2.712,-2.815,-1.897,0.561,2.453,1.535,-0.918,0.473,-1.892
8,7.39,7.39,-1,-1,5,0.098,-2.709,-2.81,-1.892,0.544,2.437,1.519,-0.917,0.473,-1.892
7.75,7.39,7.39,-1,-1,5,0.072,-2.697,-2.793,-1.877,0.501,2.394,1.478,-0.916,0.471,-1.893
7.5,7.39,7.39,-1,-1,5,0.016,-2.667,-2.753,-1.839,0.405,2.298,1.383,-0.914,0.453,-1.893
7.25,7.39,7.39,-1,-1,5,-0.095,-2.599,-2.674,-1.758,0.22,2.107,1.191,-0.915,0.386,-1.887
7,7.39,7.39,-1,-1,5,-0.298,-2.484,-2.568,-1.638,-0.069,1.797,0.867,-0.93,0.242,-1.866
6.75,7.39,7.39,-1,-1,5,-0.632,-2.337,-2.48,-1.5,-0.451,1.374,0.394,-0.98,0.037,-1.825
6.5,7.39,7.39,-1,-1,5,-1.103,-2.185,-2.449,-1.364,-0.9,0.871,-0.214,-1.084,-0.196,-1.77
