Mon Aug 1 08:45:00 CLST 2016,,,,,,,,,,,,,,,
MAPPINGS IV HII Region Grid: fetched from pyqz 0.6.2,,,,,,,,,,,,,,,
Run: outdated MIV grid updated to match grid format from MAPPINGS V [use only if you know what you are doing!],,,,,,,,,,,,,,,
LogQ(1),Tot[O]+12(2),gas[O]+12(3),Tot[Fe](4),gas[Fe](5),LogP/k(6),[OIII]/Hb,[OI]/Ha,[NII]/Ha,[SII]+/Ha,[OIII]/[OII]+,[OIII]/[NII],[OIII]/[SII]+,[NII]/[SII]+,[SIII]/[SII]+,[NII]/[OII]+
8.5,9.39,9.39,-1,-1,5,-1.984,-3.349,-1.222,-1.79,-0.673,-1.287,-0.719,0.569,0.458,0.614
8.25,9.39,9.39,-1,-1,5,-2.138,-3.399,-1.281,-1.789,-0.673,-1.379,-0.871,0.508,0.411,0.706
8,9.39,9.39,-1,-1,5,-2.24,-3.4,-1.302,-1.742,-0.673,-1.457,-1.016,0.44,0.348,0.783
7.75,9.39,9.39,-1,-1,5,-2.321,-3.353,-1.291,-1.662,-0.696,-1.546,-1.176,0.37,0.267,0.85
7.5,9.39,9.39,-1,-1,5,-2.438,-3.291,-1.282,-1.582,-0.749,-1.669,-1.369,0.3,0.168,0.92
7.25,9.39,9.39,-1,-1,5,-2.673,-3.288,-1.334,-1.56,-0.843,-1.854,-1.628,0.226,0.055,1.011
7,9.39,9.39,-1,-1,5,-3.088,-3.387,-1.485,-1.635,-1,-2.122,-1.972,0.15,-0.069,1.123
6.75,9.39,9.39,-1,-1,5,-3.686,-3.566,-1.74,-1.814,-1.236,-2.474,-2.4,0.073,-0.208,1.237
6.5,9.39,9.39,-1,-1,5,-4.641,-3.934,-2.226,-2.212,-1.524,-2.957,-2.971,-0.014,-0.366,1.433
8.5,9.17,9.17,-1,-1,5,-0.375,-2.445,-0.861,-1.263,-0.259,-0.011,0.392,0.403,0.577,-0.248
8.25,9.17,9.17,-1,-1,5,-0.401,-2.401,-0.799,-1.181,-0.315,-0.095,0.287,0.382,0.534,-0.22
8,9.17,9.17,-1,-1,5,-0.425,-2.323,-0.717,-1.064,-0.387,-0.198,0.149,0.348,0.468,-0.188
7.75,9.17,9.17,-1,-1,5,-0.469,-2.223,-0.624,-0.924,-0.483,-0.331,-0.032,0.299,0.373,-0.152
7.5,9.17,9.17,-1,-1,5,-0.564,-2.114,-0.54,-0.776,-0.622,-0.509,-0.273,0.236,0.248,-0.113
7.25,9.17,9.17,-1,-1,5,-0.745,-2.01,-0.483,-0.639,-0.821,-0.746,-0.59,0.156,0.097,-0.075
7,9.17,9.17,-1,-1,5,-1.035,-1.924,-0.467,-0.53,-1.088,-1.051,-0.988,0.063,-0.073,-0.037
6.75,9.17,9.17,-1,-1,5,-1.423,-1.853,-0.493,-0.456,-1.413,-1.415,-1.452,-0.037,-0.254,0.002
6.5,9.17,9.17,-1,-1,5,-1.888,-1.802,-0.554,-0.421,-1.774,-1.819,-1.953,-0.133,-0.441,0.045
8.5,8.99,8.99,-1,-1,5,0.208,-2.073,-0.934,-1.12,0.039,0.662,0.848,0.186,0.627,-0.624
