Thu Dec 10 14:01:32 CLST 2015
MAPPINGS V HII Region Grid: QZ sph_GCZO_Pk45_kinf
Run: sph,two,LPk=4.5,dep=Depln_Fe_1.50.txt,kap=inf,GCZFea05t2,SF=cont,a05,isp,#11,P6,Mv5.0.16,Svm802,FE15
Resampled with pyqz 0.7.2 (sampling=2) 2015-12-10 17:53:04.654843
Original LogQ: [ 6.5   6.75  7.    7.25  7.5   7.75  8.    8.25  8.5 ]
Original Tot[O]+12: [ 8.11   8.485  8.635  8.835  8.985]
LogQ(0),Tot[O]+12(1),gas[O]+12(2),Tot[Fe](3),gas[Fe](4),LogP/k(5),[NII]/Ha(6),[NII]+/Ha(7),[SII]+/Ha(8),[NII]/[OII]+(9),[NII]+/[OII]+(10),[NII]/[SII]+(11),[NII]+/[SII]+(12),[OII]+/Hb(13),[OIII]/Hb(14),[OIII]+/Hb(15),[OIII]/[OII]+(16),[OIII]+/[OII]+(17),[OIII]/[SII]+(18),[OIII]+/[SII]+(19),4363/[OIII](20),4363/[OIII]+(21),[OI]/[OII]+(22),[OII]+/[SII]+(23),R23(24),S23(25),6716/6731(26),3729/3726(27)
6.5000,8.1100,8.0000,6.3700,4.8700,4.5000,-1.0020,-0.8749,-0.5949,-1.1153,-0.9882,-0.4071,-0.2800,0.5792,-1.1204,-0.9913,-1.6996,-1.5706,-0.9914,-0.8624,-2.0110,-2.1400,-1.2706,0.7082,0.5907,0.0196,0.1601,0.1620
6.6250,8.1100,8.0000,6.3700,4.8700,4.5000,-0.9962,-0.8690,-0.6457,-1.1400,-1.0129,-0.3503,-0.2232,0.6089,-0.8670,-0.7380,-1.4759,-1.3469,-0.6863,-0.5572,-1.9858,-2.1148,-1.3671,0.7896,0.6272,0.0017,0.1600,0.1619
6.7500,8.1100,8.0000,6.3700,4.8700,4.5000,-0.9985,-0.8714,-0.7004,-1.1658,-1.0387,-0.2981,-0.1711,0.6318,-0.6242,-0.4952,-1.2560,-1.1270,-0.3884,-0.2593,-1.9621,-2.0911,-1.4583,0.8677,0.6631,-0.0143,0.1598,0.1619
6.8750,8.1100,8.0000,6.3700,4.8700,4.5000,-1.0085,-0.8815,-0.7589,-1.1932,-1.0661,-0.2509,-0.1238,0.6477,-0.3935,-0.2645,-1.0411,-0.9121,-0.0994,0.0297,-1.9401,-2.0691,-1.5434,0.9418,0.6982,-0.0286,0.1596,0.1619
7.0000,8.1100,8.0000,6.3700,4.8700,4.5000,-1.0300,-0.9030,-0.8192,-1.2209,-1.0939,-0.2109,-0.0838,0.6538,-0.1782,-0.0492,-0.8320,-0.7030,0.1781,0.3071,-1.9201,-2.0491,-1.6205,1.0101,0.7323,-0.0410,0.1594,0.1619
7.1250,8.1100,8.0000,6.3700,4.8700,4.5000,-1.0634,-0.9363,-0.8814,-1.2471,-1.1201,-0.1808,-0.0537,0.6483,0.0122,0.1412,-0.6357,-0.5067,0.4314,0.5604,-1.9026,-2.0315,-1.6844,1.0672,0.7643,-0.0517,0.1592,0.1619
7.2500,8.1100,8.0000,6.3700,4.8700,4.5000,-1.1071,-0.9800,-0.9438,-1.2716,-1.1446,-0.1632,-0.0361,0.6258,0.1706,0.2996,-0.4551,-0.3261,0.6533,0.7823,-1.8877,-2.0167,-1.7301,1.1084,0.7936,-0.0608,0.1591,0.1619
7.3750,8.1100,8.0000,6.3700,4.8700,4.5000,-1.1588,-1.0318,-1.0033,-1.2910,-1.1640,-0.1539,-0.0269,0.5908,0.3006,0.4296,-0.2927,-0.1637,0.8445,0.9736,-1.8750,-2.0041,-1.7608,1.1370,0.8196,-0.0685,0.1590,0.1619
7.5000,8.1100,8.0000,6.3700,4.8700,4.5000,-1.2106,-1.0836,-1.0596,-1.3033,-1.1762,-0.1510,-0.0240,0.5523,0.3989,0.5279,-0.1534,-0.0243,0.9988,1.1279,-1.8644,-1.9935,-1.7747,1.1522,0.8413,-0.0753,0.1590,0.1618
7.6250,8.1100,8.0000,6.3700,4.8700,4.5000,-1.2592,-1.1322,-1.1092,-1.3111,-1.1841,-0.1527,-0.0256,0.5103,0.4731,0.6021,-0.0355,0.0936,1.1233,1.2523,-1.8555,-1.9845,-1.7770,1.1584,0.8594,-0.0813,0.1590,0.1618
7.7500,8.1100,8.0000,6.3700,4.8700,4.5000,-1.3047,-1.1776,-1.1498,-1.3151,-1.1881,-0.1549,-0.0278,0.4689,0.5268,0.6558,0.0578,0.1869,1.2181,1.3471,-1.8480,-1.9770,-1.7740,1.1602,0.8734,-0.0868,0.1589,0.1618
7.8750,8.1100,8.0000,6.3700,4.8700,4.5000,-1.3415,-1.2144,-1.1830,-1.3166,-1.1895,-0.1577,-0.0306,0.4342,0.5644,0.6935,0.1308,0.2598,1.2892,1.4182,-1.8419,-1.9709,-1.7664,1.1585,0.8843,-0.0919,0.1588,0.1619
8.0000,8.1100,8.0000,6.3700,4.8700,4.5000,-1.3679,-1.2409,-1.2076,-1.3171,-1.1900,-0.1603,-0.0332,0.4069,0.5914,0.7205,0.1846,0.3136,1.3413,1.4703,-1.8370,-1.9661,-1.7591,1.1567,0.8924,-0.0968,0.1588,0.1619
8.1250,8.1100,8.0000,6.3700,4.8700,4.5000,-1.3878,-1.2609,-1.2256,-1.3168,-1.1897,-0.1622,-0.0351,0.3863,0.6091,0.7382,0.2227,0.3517,1.3772,1.5062,-1.8333,-1.9623,-1.7526,1.1548,0.8983,-0.1013,0.1588,0.1619
8.2500,8.1100,8.0000,6.3700,4.8700,4.5000,-1.4024,-1.2754,-1.2389,-1.3165,-1.1894,-0.1635,-0.0364,0.3714,0.6223,0.7513,0.2509,0.3799,1.4039,1.5329,-1.8304,-1.9594,-1.7468,1.1530,0.9027,-0.1053,0.1588,0.1618
8.3750,8.1100,8.0000,6.3700,4.8700,4.5000,-1.4127,-1.2856,-1.2483,-1.3162,-1.1891,-0.1644,-0.0373,0.3606,0.6311,0.7602,0.2705,0.3995,1.4222,1.5512,-1.8282,-1.9572,-1.7425,1.1516,0.9058,-0.1088,0.1588,0.1618
8.5000,8.1100,8.0000,6.3700,4.8700,4.5000,-1.4190,-1.2919,-1.2541,-1.3158,-1.1887,-0.1649,-0.0379,0.3539,0.6365,0.7656,0.2826,0.4116,1.4335,1.5625,-1.8267,-1.9557,-1.7398,1.1508,0.9078,-0.1116,0.1588,0.1618
6.5000,8.2975,8.1875,6.6419,5.1419,4.5000,-0.7308,-0.6036,-0.4075,-0.9840,-0.8570,-0.3243,-0.1972,0.7163,-0.9980,-0.8690,-1.7125,-1.5834,-1.0507,-0.9216,-2.0574,-2.1864,-1.2670,0.6623,0.7273,0.2054,0.1604,0.1620
6.6250,8.2975,8.1875,6.6419,5.1419,4.5000,-0.7270,-0.5999,-0.4603,-1.0060,-0.8790,-0.2676,-0.1405,0.7412,-0.7500,-0.6210,-1.4896,-1.3605,-0.7487,-0.6197,-2.0394,-2.1684,-1.3596,0.7411,0.7588,0.1858,0.1602,0.1620
6.7500,8.2975,8.1875,6.6419,5.1419,4.5000,-0.7316,-0.6046,-0.5177,-1.0288,-0.9018,-0.2150,-0.0879,0.7588,-0.5132,-0.3843,-1.2706,-1.1416,-0.4539,-0.3249,-2.0231,-2.1521,-1.4468,0.8168,0.7888,0.1673,0.1600,0.1620
