Thu Dec 10 14:16:36 CLST 2015
MAPPINGS V HII Region Grid: QZ pp_GCZO_Pk50_kinf
Run: pp,two,LPk=5.0,dep=Depln_Fe_1.50.txt,kap=inf,GCZFea05t2,SF=cont,a05,isp,#11,P6,Mv5.0.16,Svm802,FE15
Resampled with pyqz 0.7.2 (sampling=2) 2015-12-10 17:50:26.919546
Original LogQ: [ 6.5   6.75  7.    7.25  7.5   7.75  8.    8.25  8.5 ]
Original Tot[O]+12: [ 8.11   8.485  8.635  8.835  8.985]
LogQ(0),Tot[O]+12(1),gas[O]+12(2),Tot[Fe](3),gas[Fe](4),LogP/k(5),[NII]/Ha(6),[NII]+/Ha(7),[SII]+/Ha(8),[NII]/[OII]+(9),[NII]+/[OII]+(10),[NII]/[SII]+(11),[NII]+/[SII]+(12),[OII]+/Hb(13),[OIII]/Hb(14),[OIII]+/Hb(15),[OIII]/[OII]+(16),[OIII]+/[OII]+(17),[OIII]/[SII]+(18),[OIII]+/[SII]+(19),4363/[OIII](20),4363/[OIII]+(21),[OI]/[OII]+(22),[OII]+/[SII]+(23),R23(24),S23(25),6716/6731(26),3729/3726(27)
6.5000,8.1100,8.0000,6.3700,4.8700,5.0000,-1.0040,-0.8770,-0.5967,-1.1183,-0.9912,-0.4074,-0.2803,0.5797,-1.1165,-0.9875,-1.6963,-1.5672,-0.9853,-0.8563,-2.0106,-2.1396,-1.2740,0.7109,0.5913,0.0184,0.1590,0.1606
6.6250,8.1100,8.0000,6.3700,4.8700,5.0000,-0.9982,-0.8711,-0.6485,-1.1428,-1.0158,-0.3495,-0.2225,0.6097,-0.8613,-0.7322,-1.4710,-1.3420,-0.6773,-0.5483,-1.9853,-2.1144,-1.3723,0.7937,0.6282,0.0003,0.1588,0.1606
6.7500,8.1100,8.0000,6.3700,4.8700,5.0000,-1.0007,-0.8736,-0.7050,-1.1697,-1.0427,-0.2956,-0.1686,0.6331,-0.6153,-0.4862,-1.2484,-1.1194,-0.3743,-0.2453,-1.9615,-2.0906,-1.4666,0.8741,0.6649,-0.0162,0.1586,0.1606
6.8750,8.1100,8.0000,6.3700,4.8700,5.0000,-1.0120,-0.8849,-0.7660,-1.1986,-1.0716,-0.2461,-0.1191,0.6490,-0.3800,-0.2509,-1.0290,-0.9000,-0.0775,0.0516,-1.9392,-2.0684,-1.5563,0.9515,0.7012,-0.0311,0.1584,0.1606
7.0000,8.1100,8.0000,6.3700,4.8700,5.0000,-1.0345,-0.9074,-0.8317,-1.2276,-1.1005,-0.2028,-0.0758,0.6555,-0.1583,-0.0293,-0.8138,-0.6848,0.2109,0.3400,-1.9190,-2.0481,-1.6399,1.0247,0.7371,-0.0442,0.1582,0.1606
7.1250,8.1100,8.0000,6.3700,4.8700,5.0000,-1.0710,-0.9439,-0.9018,-1.2564,-1.1293,-0.1692,-0.0422,0.6477,0.0408,0.1698,-0.6069,-0.4779,0.4810,0.6101,-1.9010,-2.0300,-1.7123,1.0880,0.7716,-0.0559,0.1580,0.1606
7.2500,8.1100,8.0000,6.3700,4.8700,5.0000,-1.1238,-0.9967,-0.9762,-1.2850,-1.1580,-0.1475,-0.0205,0.6218,0.2109,0.3400,-0.4108,-0.2818,0.7266,0.8557,-1.8855,-2.0145,-1.7701,1.1375,0.8044,-0.0662,0.1579,0.1606
7.3750,8.1100,8.0000,6.3700,4.8700,5.0000,-1.1892,-1.0621,-1.0545,-1.3097,-1.1827,-0.1346,-0.0076,0.5799,0.3551,0.4841,-0.2249,-0.0958,0.9501,1.0791,-1.8718,-2.0009,-1.8143,1.1750,0.8349,-0.0753,0.1577,0.1606
7.5000,8.1100,8.0000,6.3700,4.8700,5.0000,-1.2668,-1.1397,-1.1363,-1.3287,-1.2017,-0.1305,-0.0034,0.5205,0.4701,0.5991,-0.0505,0.0786,1.1478,1.2768,-1.8595,-1.9886,-1.8424,1.1982,0.8626,-0.0844,0.1576,0.1606
7.6250,8.1100,8.0000,6.3700,4.8700,5.0000,-1.3535,-1.2264,-1.2210,-1.3440,-1.2169,-0.1325,-0.0054,0.4480,0.5627,0.6917,0.1146,0.2437,1.3261,1.4551,-1.8481,-1.9772,-1.8582,1.2114,0.8878,-0.0937,0.1575,0.1606
