Mon Aug 1 08:45:00 CLST 2016,,,,,,,,,,,,,,,
MAPPINGS IV HII Region Grid: fetched from pyqz 0.6.2,,,,,,,,,,,,,,,
Run: outdated MIV grid updated to match grid format from MAPPINGS V [use only if you know what you are doing!],,,,,,,,,,,,,,,
LogQ(1),Tot[O]+12(2),gas[O]+12(3),Tot[Fe](4),gas[Fe](5),LogP/k(6),[OIII]/Hb,[OI]/Ha,[NII]/Ha,[SII]+/Ha,[OIII]/[OII]+,[OIII]/[NII],[OIII]/[SII]+,[NII]/[SII]+,[SIII]/[SII]+,[NII]/[OII]+
8,8.17,8.17,-1,-1,5,0.562,-2.313,-1.883,-1.358,0.432,1.977,1.452,-0.525,0.58,-1.545
7.75,8.17,8.17,-1,-1,5,0.523,-2.287,-1.845,-1.32,0.355,1.9,1.375,-0.525,0.561,-1.545
7.5,8.17,8.17,-1,-1,5,0.444,-2.231,-1.776,-1.248,0.21,1.75,1.222,-0.528,0.503,-1.54
7.25,8.17,8.17,-1,-1,5,0.292,-2.133,-1.679,-1.138,-0.022,1.5,0.958,-0.541,0.381,-1.522
7,8.17,8.17,-1,-1,5,0.031,-2,-1.588,-1.006,-0.342,1.143,0.561,-0.582,0.2,-1.485
6.75,8.17,8.17,-1,-1,5,-0.368,-1.853,-1.541,-0.872,-0.738,0.694,0.025,-0.668,-0.021,-1.432
6.5,8.17,8.17,-1,-1,5,-0.889,-1.712,-1.553,-0.753,-1.193,0.182,-0.618,-0.8,-0.262,-1.375
8.5,7.99,7.99,-1,-1,5,0.5,-2.432,-2.162,-1.507,0.54,2.192,1.537,-0.655,0.56,-1.652
8.25,7.99,7.99,-1,-1,5,0.494,-2.428,-2.156,-1.503,0.529,2.18,1.527,-0.653,0.559,-1.651
8,7.99,7.99,-1,-1,5,0.479,-2.422,-2.145,-1.492,0.5,2.152,1.499,-0.653,0.556,-1.652
7.75,7.99,7.99,-1,-1,5,0.442,-2.399,-2.113,-1.462,0.433,2.085,1.433,-0.651,0.545,-1.652
7.5,7.99,7.99,-1,-1,5,0.365,-2.352,-2.054,-1.401,0.297,1.947,1.293,-0.654,0.499,-1.65
7.25,7.99,7.99,-1,-1,5,0.22,-2.266,-1.962,-1.299,0.072,1.707,1.044,-0.663,0.389,-1.635
7,7.99,7.99,-1,-1,5,-0.037,-2.136,-1.866,-1.171,-0.249,1.35,0.655,-0.695,0.212,-1.6
6.75,7.99,7.99,-1,-1,5,-0.434,-1.99,-1.811,-1.037,-0.651,0.896,0.122,-0.774,-0.011,-1.546
6.5,7.99,7.99,-1,-1,5,-0.959,-1.849,-1.819,-0.917,-1.111,0.376,-0.526,-0.901,-0.253,-1.487
8.5,7.69,7.69,-1,-1,5,0.286,-2.657,-2.587,-1.761,0.606,2.397,1.57,-0.827,0.525,-1.791
8.25,7.69,7.69,-1,-1,5,0.281,-2.655,-2.584,-1.758,0.599,2.389,1.563,-0.826,0.525,-1.791
8,7.69,7.69,-1,-1,5,0.267,-2.65,-2.575,-1.75,0.575,2.367,1.541,-0.826,0.525,-1.791
7.75,7.69,7.69,-1,-1,5,0.233,-2.635,-2.553,-1.73,0.518,2.309,1.486,-0.824,0.52,-1.791
7.5,7.69,7.69,-1,-1,5,0.158,-2.596,-2.502,-1.678,0.392,2.182,1.358,-0.824,0.487,-1.79
7.25,7.69,7.69,-1,-1,5,0.017,-2.514,-2.412,-1.583,0.172,1.949,1.121,-0.828,0.391,-1.777
7,7.69,7.69,-1,-1,5,-0.23,-2.389,-2.313,-1.459,-0.148,1.6,0.746,-0.854,0.219,-1.748
6.75,7.69,7.69,-1,-1,5,-0.62,-2.244,-2.246,-1.325,-0.553,1.142,0.221,-0.922,-0.001,-1.695
6.5,7.69,7.69,-1,-1,5,-1.144,-2.103,-2.247,-1.202,-1.018,0.616,-0.429,-1.044,-0.247,-1.634
8.5,7.39,7.39,-1,-1,5,0.02,-2.929,-2.957,-2.04,0.624,2.497,1.581,-0.917,0.513,-1.873
8.25,7.39,7.39,-1,-1,5,0.015,-2.928,-2.955,-2.038,0.617,2.49,1.574,-0.916,0.513,-1.873
8,7.39,7.39,-1,-1,5,0.001,-2.924,-2.948,-2.032,0.596,2.469,1.554,-0.916,0.512,-1.874
7.75,7.39,7.39,-1,-1,5,-0.032,-2.91,-2.929,-2.014,0.543,2.416,1.502,-0.914,0.508,-1.874
7.5,7.39,7.39,-1,-1,5,-0.104,-2.874,-2.882,-1.968,0.425,2.297,1.383,-0.914,0.482,-1.872
7.25,7.39,7.39,-1,-1,5,-0.243,-2.796,-2.795,-1.877,0.209,2.07,1.152,-0.918,0.393,-1.861
7,7.39,7.39,-1,-1,5,-0.489,-2.673,-2.692,-1.753,-0.112,1.719,0.78,-0.939,0.223,-1.831
6.75,7.39,7.39,-1,-1,5,-0.878,-2.527,-2.624,-1.62,-0.52,1.26,0.256,-1.004,0,-1.779
6.5,7.39,7.39,-1,-1,5,-1.403,-2.386,-2.622,-1.498,-0.988,0.729,-0.395,-1.124,-0.246,-1.717
