Mon Aug 1 08:45:00 CLST 2016,,,,,,,,,,,,,,,
MAPPINGS IV HII Region Grid: fetched from pyqz 0.6.2,,,,,,,,,,,,,,,
Run: outdated MIV grid updated to match grid format from MAPPINGS V [use only if you know what you are doing!],,,,,,,,,,,,,,,
LogQ(1),Tot[O]+12(2),gas[O]+12(3),Tot[Fe](4),gas[Fe](5),LogP/k(6),[OIII]/Hb,[OI]/Ha,[NII]/Ha,[SII]+/Ha,[OIII]/[OII]+,[OIII]/[NII],[OIII]/[SII]+,[NII]/[SII]+,[SIII]/[SII]+,[NII]/[OII]+
8.5,9.39,9.39,-1,-1,5,-1.665,-3.242,-1.121,-1.698,-0.681,-1.069,-0.492,0.577,0.427,0.388
8.25,9.39,9.39,-1,-1,5,-1.794,-3.277,-1.161,-1.68,-0.7,-1.155,-0.636,0.519,0.373,0.456
8,9.39,9.39,-1,-1,5,-1.864,-3.259,-1.16,-1.616,-0.712,-1.223,-0.768,0.455,0.304,0.511
7.75,9.39,9.39,-1,-1,5,-1.93,-3.197,-1.134,-1.522,-0.755,-1.313,-0.926,0.388,0.215,0.558
7.5,9.39,9.39,-1,-1,5,-2.044,-3.119,-1.11,-1.429,-0.846,-1.449,-1.131,0.319,0.105,0.603
7.25,9.39,9.39,-1,-1,5,-2.253,-3.065,-1.122,-1.371,-0.996,-1.647,-1.398,0.249,-0.02,0.651
7,9.39,9.39,-1,-1,5,-2.661,-3.116,-1.244,-1.414,-1.215,-1.938,-1.768,0.17,-0.164,0.723
6.75,9.39,9.39,-1,-1,5,-3.254,-3.264,-1.48,-1.569,-1.485,-2.304,-2.215,0.089,-0.322,0.819
6.5,9.39,9.39,-1,-1,5,-4.115,-3.561,-1.895,-1.901,-1.786,-2.763,-2.757,0.006,-0.497,0.977
8.5,9.17,9.17,-1,-1,5,-0.281,-2.467,-0.872,-1.268,-0.236,0.093,0.489,0.396,0.576,-0.329
8.25,9.17,9.17,-1,-1,5,-0.304,-2.422,-0.809,-1.184,-0.296,0.009,0.385,0.376,0.53,-0.306
8,9.17,9.17,-1,-1,5,-0.328,-2.343,-0.724,-1.067,-0.376,-0.097,0.246,0.343,0.459,-0.279
7.75,9.17,9.17,-1,-1,5,-0.379,-2.238,-0.629,-0.925,-0.489,-0.239,0.057,0.296,0.358,-0.25
7.5,9.17,9.17,-1,-1,5,-0.487,-2.123,-0.544,-0.776,-0.649,-0.43,-0.198,0.232,0.226,-0.218
7.25,9.17,9.17,-1,-1,5,-0.684,-2.011,-0.486,-0.638,-0.871,-0.684,-0.532,0.152,0.069,-0.187
7,9.17,9.17,-1,-1,5,-0.985,-1.913,-0.468,-0.526,-1.159,-1.003,-0.945,0.058,-0.106,-0.156
6.75,9.17,9.17,-1,-1,5,-1.382,-1.83,-0.491,-0.448,-1.502,-1.378,-1.421,-0.043,-0.294,-0.124
6.5,9.17,9.17,-1,-1,5,-1.845,-1.766,-0.546,-0.407,-1.877,-1.788,-1.928,-0.139,-0.485,-0.089
8.5,8.99,8.99,-1,-1,5,0.248,-2.177,-0.983,-1.169,0.077,0.749,0.934,0.186,0.646,-0.671
8.25,8.99,8.99,-1,-1,5,0.226,-2.155,-0.931,-1.113,0.016,0.675,0.857,0.182,0.614,-0.659
8,8.99,8.99,-1,-1,5,0.195,-2.108,-0.852,-1.022,-0.077,0.566,0.736,0.17,0.555,-0.642
7.75,8.99,8.99,-1,-1,5,0.139,-2.03,-0.75,-0.896,-0.211,0.41,0.556,0.146,0.46,-0.62
7.5,8.99,8.99,-1,-1,5,0.037,-1.926,-0.642,-0.746,-0.394,0.201,0.305,0.104,0.329,-0.595
7.25,8.99,8.99,-1,-1,5,-0.138,-1.803,-0.55,-0.591,-0.634,-0.066,-0.025,0.041,0.169,-0.568
7,8.99,8.99,-1,-1,5,-0.411,-1.671,-0.494,-0.447,-0.936,-0.395,-0.441,-0.047,-0.013,-0.542
6.75,8.99,8.99,-1,-1,5,-0.782,-1.543,-0.478,-0.325,-1.298,-0.781,-0.934,-0.153,-0.211,-0.517
6.5,8.99,8.99,-1,-1,5,-1.228,-1.425,-0.497,-0.232,-1.701,-1.21,-1.475,-0.265,-0.418,-0.491
8.5,8.69,8.69,-1,-1,5,0.579,-2.124,-1.271,-1.161,0.326,1.379,1.269,-0.11,0.638,-1.053
8.25,8.69,8.69,-1,-1,5,0.562,-2.112,-1.244,-1.135,0.283,1.334,1.225,-0.109,0.627,-1.051
8,8.69,8.69,-1,-1,5,0.533,-2.083,-1.192,-1.083,0.208,1.254,1.145,-0.109,0.6,-1.047
7.75,8.69,8.69,-1,-1,5,0.483,-2.025,-1.109,-0.995,0.083,1.121,1.006,-0.115,0.537,-1.038
7.5,8.69,8.69,-1,-1,5,0.392,-1.932,-1.001,-0.871,-0.102,0.922,0.792,-0.129,0.429,-1.024
7.25,8.69,8.69,-1,-1,5,0.235,-1.807,-0.89,-0.726,-0.348,0.653,0.489,-0.164,0.28,-1.001
7,8.69,8.69,-1,-1,5,-0.02,-1.666,-0.806,-0.577,-0.658,0.314,0.085,-0.229,0.098,-0.971
6.75,8.69,8.69,-1,-1,5,-0.39,-1.521,-0.771,-0.441,-1.03,-0.094,-0.424,-0.33,-0.107,-0.936
6.5,8.69,8.69,-1,-1,5,-0.861,-1.385,-0.783,-0.327,-1.455,-0.555,-1.01,-0.456,-0.328,-0.901
8.5,8.39,8.39,-1,-1,5,0.646,-2.212,-1.625,-1.256,0.439,1.805,1.436,-0.369,0.608,-1.366
8.25,8.39,8.39,-1,-1,5,0.637,-2.206,-1.611,-1.244,0.416,1.782,1.414,-0.368,0.605,-1.366
8,8.39,8.39,-1,-1,5,0.617,-2.189,-1.583,-1.217,0.368,1.733,1.367,-0.367,0.596,-1.366
7.75,8.39,8.39,-1,-1,5,0.575,-2.151,-1.529,-1.162,0.272,1.636,1.269,-0.367,0.563,-1.364
7.5,8.39,8.39,-1,-1,5,0.493,-2.079,-1.442,-1.07,0.11,1.467,1.095,-0.372,0.486,-1.357
7.25,8.39,8.39,-1,-1,5,0.342,-1.97,-1.337,-0.946,-0.129,1.208,0.817,-0.391,0.352,-1.338
7,8.39,8.39,-1,-1,5,0.085,-1.832,-1.246,-0.807,-0.445,0.858,0.419,-0.439,0.17,-1.302
6.75,8.39,8.39,-1,-1,5,-0.303,-1.685,-1.204,-0.672,-0.831,0.424,-0.107,-0.531,-0.044,-1.255
6.5,8.39,8.39,-1,-1,5,-0.807,-1.546,-1.217,-0.555,-1.276,-0.07,-0.732,-0.662,-0.279,-1.206
8.5,8.17,8.17,-1,-1,5,0.585,-2.328,-1.908,-1.381,0.482,2.026,1.5,-0.527,0.586,-1.544
8.25,8.17,8.17,-1,-1,5,0.579,-2.324,-1.901,-1.375,0.468,2.012,1.486,-0.526,0.585,-1.545
