Thu Dec 10 15:15:05 CLST 2015
MAPPINGS V HII Region Grid: QZ sph_GCZO_Pk55_kinf
Run: sph,two,LPk=5.5,dep=Depln_Fe_1.50.txt,kap=inf,GCZFea05t2,SF=cont,a05,isp,#11,P6,Mv5.0.16,Svm802,FE15
LogQ(1),Tot[O]+12(2),gas[O]+12(3),Tot[Fe](4),gas[Fe](5),LogP/k(6),[NII]/Ha(7),[NII]+/Ha(8),[SII]+/Ha(9),[NII]/[OII]+(10),[NII]+/[OII]+(11),[NII]/[SII]+(12),[NII]+/[SII]+(13),[OII]+/Hb(14),[OIII]/Hb(15),[OIII]+/Hb(16),[OIII]/[OII]+(17),[OIII]+/[OII]+(18),[OIII]/[SII]+(19),[OIII]+/[SII]+(20),4363/[OIII](21),4363/[OIII]+(22),[OI]/[OII]+(23),[OII]+/[SII]+(24),R23(25),S23(26),6716/6731(27),3729/3726(28)
   6.5000,  8.1100,  8.0000,  6.3700,  4.8700,  5.5000, -1.0095, -0.8825, -0.5967, -1.1233, -0.9962, -0.4128, -0.2857,  0.5788, -1.1174, -0.9883, -1.6962, -1.5672, -0.9857, -0.8567, -2.0102, -2.1393, -1.2721,  0.7105,  0.5905,  0.0180,  0.1554,  0.1564
   6.5000,  8.4850,  8.3750,  6.9700,  5.4700,  5.5000, -0.4995, -0.3724, -0.2448, -0.8229, -0.6958, -0.2548, -0.1277,  0.7844, -0.9869, -0.8579, -1.7713, -1.6423, -1.2032, -1.0741, -2.1656, -2.2947, -1.2669,  0.5682,  0.7942,  0.3635,  0.1554,  0.1556
   6.5000,  8.6350,  8.5250,  7.2700,  5.7700,  5.5000, -0.3520, -0.2249, -0.1484, -0.6404, -0.5133, -0.2036, -0.0765,  0.7504, -1.1151, -0.9861, -1.8655, -1.7364, -1.4286, -1.2996, -2.3210, -2.4500, -1.2691,  0.4369,  0.7583,  0.4537,  0.1552,  0.1546
   6.5000,  8.8350,  8.7250,  7.6700,  6.1700,  5.5000, -0.2574, -0.1303, -0.1410, -0.3132, -0.1861, -0.1164,  0.0106,  0.5240, -1.5025, -1.3735, -2.0265, -1.8974, -1.8297, -1.7007, -2.6559, -2.7849, -1.2526,  0.1968,  0.5294,  0.4696,  0.1544,  0.1522
   6.5000,  8.9850,  8.8750,  7.9700,  6.4700,  5.5000, -0.3370, -0.2099, -0.2741,  0.0428,  0.1698, -0.0629,  0.0642,  0.0979, -2.2078, -2.0788, -2.3058, -2.1767, -2.4114, -2.2824,    -inf,    -inf, -1.1757, -0.1056,  0.1008,  0.3463,  0.1520,  0.1483
c
   6.7500,  8.1100,  8.0000,  6.3700,  4.8700,  5.5000, -1.0061, -0.8790, -0.7042, -1.1744, -1.0473, -0.3019, -0.1748,  0.6320, -0.6178, -0.4887, -1.2498, -1.1207, -0.3773, -0.2483, -1.9612, -2.0903, -1.4632,  0.8725,  0.6637, -0.0162,  0.1550,  0.1565
   6.7500,  8.4850,  8.3750,  6.9700,  5.4700,  5.5000, -0.5047, -0.3777, -0.3589, -0.8598, -0.7327, -0.1458, -0.0188,  0.8150, -0.5143, -0.3853, -1.3294, -1.2004, -0.6154, -0.4864, -2.1418, -2.2708, -1.4429,  0.7140,  0.8416,  0.3214,  0.1551,  0.1556
   6.7500,  8.6350,  8.5250,  7.2700,  5.7700,  5.5000, -0.3594, -0.2323, -0.2607, -0.6689, -0.5418, -0.0987,  0.0284,  0.7708, -0.6565, -0.5275, -1.4273, -1.2983, -0.8572, -0.7281, -2.3083, -2.4373, -1.4398,  0.5702,  0.7921,  0.4101,  0.1549,  0.1545
   6.7500,  8.8350,  8.7250,  7.6700,  6.1700,  5.5000, -0.2586, -0.1316, -0.2439, -0.3357, -0.2087, -0.0148,  0.1123,  0.5448, -1.0518, -0.9228, -1.5966, -1.4676, -1.2757, -1.1466, -2.6469, -2.7759, -1.4289,  0.3210,  0.5594,  0.4337,  0.1541,  0.1520
