Thu Dec 10 14:54:43 CLST 2015
MAPPINGS V HII Region Grid: QZ pp_GCZO_Pk55_kinf
Run: pp,two,LPk=5.5,dep=Depln_Fe_1.50.txt,kap=inf,GCZFea05t2,SF=cont,a05,isp,#11,P6,Mv5.0.16,Svm802,FE15
Resampled with pyqz 0.7.2 (sampling=2) 2015-12-10 17:52:55.048024
Original LogQ: [ 6.5   6.75  7.    7.25  7.5   7.75  8.    8.25  8.5 ]
Original Tot[O]+12: [ 8.11   8.485  8.635  8.835  8.985]
LogQ(0),Tot[O]+12(1),gas[O]+12(2),Tot[Fe](3),gas[Fe](4),LogP/k(5),[NII]/Ha(6),[NII]+/Ha(7),[SII]+/Ha(8),[NII]/[OII]+(9),[NII]+/[OII]+(10),[NII]/[SII]+(11),[NII]+/[SII]+(12),[OII]+/Hb(13),[OIII]/Hb(14),[OIII]+/Hb(15),[OIII]/[OII]+(16),[OIII]+/[OII]+(17),[OIII]/[SII]+(18),[OIII]+/[SII]+(19),4363/[OIII](20),4363/[OIII]+(21),[OI]/[OII]+(22),[OII]+/[SII]+(23),R23(24),S23(25),6716/6731(26),3729/3726(27)
6.5000,8.1100,8.0000,6.3700,4.8700,5.5000,-1.0094,-0.8824,-0.5973,-1.1235,-0.9964,-0.4122,-0.2851,0.5791,-1.1161,-0.9871,-1.6952,-1.5662,-0.9840,-0.8549,-2.0102,-2.1392,-1.2732,0.7113,0.5907,0.0177,0.1554,0.1564
6.6250,8.1100,8.0000,6.3700,4.8700,5.5000,-1.0035,-0.8765,-0.6491,-1.1480,-1.0209,-0.3543,-0.2272,0.6091,-0.8609,-0.7319,-1.4700,-1.3410,-0.6760,-0.5469,-1.9849,-2.1139,-1.3716,0.7941,0.6277,-0.0003,0.1552,0.1564
6.7500,8.1100,8.0000,6.3700,4.8700,5.5000,-1.0060,-0.8790,-0.7056,-1.1749,-1.0478,-0.3004,-0.1733,0.6325,-0.6149,-0.4859,-1.2474,-1.1184,-0.3730,-0.2439,-1.9611,-2.0901,-1.4660,0.8745,0.6644,-0.0167,0.1550,0.1565
6.8750,8.1100,8.0000,6.3700,4.8700,5.5000,-1.0173,-0.8903,-0.7666,-1.2038,-1.0767,-0.2509,-0.1238,0.6484,-0.3796,-0.2506,-1.0280,-0.8990,-0.0761,0.0529,-1.9388,-2.0679,-1.5556,0.9519,0.7007,-0.0315,0.1548,0.1566
7.0000,8.1100,8.0000,6.3700,4.8700,5.5000,-1.0398,-0.9128,-0.8323,-1.2327,-1.1056,-0.2076,-0.0805,0.6549,-0.1579,-0.0289,-0.8128,-0.6838,0.2123,0.3413,-1.9186,-2.0477,-1.6392,1.0251,0.7366,-0.0446,0.1547,0.1567
7.1250,8.1100,8.0000,6.3700,4.8700,5.5000,-1.0763,-0.9493,-0.9024,-1.2615,-1.1344,-0.1739,-0.0469,0.6471,0.0412,0.1702,-0.6059,-0.4769,0.4824,0.6114,-1.9006,-2.0296,-1.7117,1.0884,0.7712,-0.0562,0.1545,0.1567
7.2500,8.1100,8.0000,6.3700,4.8700,5.5000,-1.1291,-1.0020,-0.9768,-1.2901,-1.1631,-0.1522,-0.0252,0.6212,0.2113,0.3404,-0.4099,-0.2808,0.7280,0.8570,-1.8851,-2.0141,-1.7695,1.1379,0.8041,-0.0664,0.1544,0.1568
7.3750,8.1100,8.0000,6.3700,4.8700,5.5000,-1.1945,-1.0674,-1.0551,-1.3148,-1.1878,-0.1393,-0.0123,0.5794,0.3555,0.4845,-0.2239,-0.0949,0.9514,1.0804,-1.8715,-2.0004,-1.8136,1.1754,0.8348,-0.0755,0.1543,0.1568
7.5000,8.1100,8.0000,6.3700,4.8700,5.5000,-1.2721,-1.1450,-1.1369,-1.3338,-1.2067,-0.1352,-0.0081,0.5200,0.4705,0.5995,-0.0495,0.0795,1.1491,1.2781,-1.8591,-1.9881,-1.8417,1.1986,0.8626,-0.0845,0.1542,0.1569
7.6250,8.1100,8.0000,6.3700,4.8700,5.5000,-1.3587,-1.2317,-1.2216,-1.3490,-1.2219,-0.1372,-0.0101,0.4476,0.5631,0.6921,0.1156,0.2446,1.3274,1.4564,-1.8477,-1.9767,-1.8576,1.2118,0.8879,-0.0937,0.1541,0.1570
7.7500,8.1100,8.0000,6.3700,4.8700,5.5000,-1.4523,-1.3253,-1.3091,-1.3599,-1.2328,-0.1433,-0.0162,0.3640,0.6362,0.7652,0.2722,0.4013,1.4888,1.6178,-1.8367,-1.9658,-1.8622,1.2166,0.9104,-0.1031,0.1540,0.1570
7.8750,8.1100,8.0000,6.3700,4.8700,5.5000,-1.5518,-1.4247,-1.3989,-1.3678,-1.2408,-0.1528,-0.0257,0.2717,0.6936,0.8227,0.4213,0.5504,1.6366,1.7657,-1.8261,-1.9552,-1.8582,1.2151,0.9307,-0.1146,0.1539,0.1570
8.0000,8.1100,8.0000,6.3700,4.8700,5.5000,-1.6529,-1.5258,-1.4902,-1.3735,-1.2465,-0.1627,-0.0356,0.1755,0.7397,0.8688,0.5642,0.6932,1.7750,1.9041,-1.8158,-1.9449,-1.8483,1.2109,0.9489,-0.1287,0.1538,0.1570
8.1250,8.1100,8.0000,6.3700,4.8700,5.5000,-1.7562,-1.6291,-1.5831,-1.3774,-1.2504,-0.1730,-0.0459,0.0750,0.7756,0.9048,0.7006,0.8296,1.9048,2.0338,-1.8058,-1.9349,-1.8334,1.2041,0.9652,-0.1463,0.1537,0.1570
8.2500,8.1100,8.0000,6.3700,4.8700,5.5000,-1.8591,-1.7320,-1.6758,-1.3807,-1.2537,-0.1832,-0.0561,-0.0249,0.8056,0.9347,0.8305,0.9595,2.0281,2.1571,-1.7962,-1.9252,-1.8169,1.1975,0.9799,-0.1687,0.1536,0.1569
8.3750,8.1100,8.0000,6.3700,4.8700,5.5000,-1.9593,-1.8322,-1.7673,-1.3834,-1.2564,-0.1920,-0.0649,-0.1228,0.8298,0.9589,0.9531,1.0821,2.1445,2.2735,-1.7871,-1.9160,-1.7990,1.1917,0.9931,-0.1958,0.1534,0.1568
8.5000,8.1100,8.0000,6.3700,4.8700,5.5000,-2.0574,-1.9303,-1.8580,-1.3857,-1.2586,-0.1994,-0.0723,-0.2194,0.8491,0.9781,1.0685,1.1975,2.2547,2.3838,-1.7784,-1.9074,-1.7802,1.1863,1.0048,-0.2280,0.1532,0.1567
6.5000,8.2975,8.1875,6.6419,5.1419,5.5000,-0.7381,-0.6111,-0.4097,-0.9928,-0.8656,-0.3296,-0.2025,0.7168,-0.9931,-0.8641,-1.7086,-1.5796,-1.0431,-0.9140,-2.0584,-2.1874,-1.2696,0.6657,0.7279,0.2037,0.1555,0.1562
6.6250,8.2975,8.1875,6.6419,5.1419,5.5000,-0.7343,-0.6073,-0.4635,-1.0147,-0.8876,-0.2719,-0.1448,0.7421,-0.7433,-0.6143,-1.4842,-1.3553,-0.7384,-0.6092,-2.0387,-2.1678,-1.3639,0.7460,0.7598,0.1839,0.1553,0.1563
6.7500,8.2975,8.1875,6.6419,5.1419,5.5000,-0.7391,-0.6121,-0.5227,-1.0383,-0.9113,-0.2176,-0.0906,0.7601,-0.5035,-0.3745,-1.2626,-1.1336,-0.4386,-0.3095,-2.0214,-2.1505,-1.4541,0.8240,0.7905,0.1650,0.1551,0.1563
6.8750,8.2975,8.1875,6.6419,5.1419,5.5000,-0.7529,-0.6260,-0.5872,-1.0635,-0.9365,-0.1672,-0.0402,0.7700,-0.2752,-0.1462,-1.0443,-0.9153,-0.1452,-0.0161,-2.0063,-2.1354,-1.5394,0.8992,0.8200,0.1470,0.1549,0.1563
7.0000,8.2975,8.1875,6.6419,5.1419,5.5000,-0.7783,-0.6513,-0.6573,-1.0888,-0.9617,-0.1224,0.0046,0.7698,-0.0615,0.0676,-0.8303,-0.7014,0.1397,0.2688,-1.9944,-2.1234,-1.6186,0.9703,0.8479,0.1298,0.1548,0.1563
7.1250,8.2975,8.1875,6.6419,5.1419,5.5000,-0.8181,-0.6911,-0.7327,-1.1139,-0.9868,-0.0868,0.0402,0.7550,0.1291,0.2582,-0.6251,-0.4961,0.4064,0.5354,-1.9856,-2.1146,-1.6869,1.0317,0.8737,0.1132,0.1547,0.1563
