Thu Dec 10 15:15:05 CLST 2015
MAPPINGS V HII Region Grid: QZ sph_GCZO_Pk55_kinf
Run: sph,two,LPk=5.5,dep=Depln_Fe_1.50.txt,kap=inf,GCZFea05t2,SF=cont,a05,isp,#11,P6,Mv5.0.16,Svm802,FE15
Resampled with pyqz 0.7.2 (sampling=2) 2015-12-10 17:53:08.544164
Original LogQ: [ 6.5   6.75  7.    7.25  7.5   7.75  8.    8.25  8.5 ]
Original Tot[O]+12: [ 8.11   8.485  8.635  8.835  8.985]
LogQ(0),Tot[O]+12(1),gas[O]+12(2),Tot[Fe](3),gas[Fe](4),LogP/k(5),[NII]/Ha(6),[NII]+/Ha(7),[SII]+/Ha(8),[NII]/[OII]+(9),[NII]+/[OII]+(10),[NII]/[SII]+(11),[NII]+/[SII]+(12),[OII]+/Hb(13),[OIII]/Hb(14),[OIII]+/Hb(15),[OIII]/[OII]+(16),[OIII]+/[OII]+(17),[OIII]/[SII]+(18),[OIII]+/[SII]+(19),4363/[OIII](20),4363/[OIII]+(21),[OI]/[OII]+(22),[OII]+/[SII]+(23),R23(24),S23(25),6716/6731(26),3729/3726(27)
6.5000,8.1100,8.0000,6.3700,4.8700,5.5000,-1.0095,-0.8825,-0.5967,-1.1233,-0.9962,-0.4128,-0.2857,0.5788,-1.1174,-0.9883,-1.6962,-1.5672,-0.9857,-0.8567,-2.0102,-2.1393,-1.2721,0.7105,0.5905,0.0180,0.1554,0.1564
6.6250,8.1100,8.0000,6.3700,4.8700,5.5000,-1.0036,-0.8766,-0.6483,-1.1479,-1.0208,-0.3553,-0.2282,0.6088,-0.8628,-0.7337,-1.4715,-1.3424,-0.6787,-0.5497,-1.9849,-2.1140,-1.3698,0.7928,0.6273,0.0001,0.1552,0.1564
6.7500,8.1100,8.0000,6.3700,4.8700,5.5000,-1.0061,-0.8790,-0.7042,-1.1744,-1.0473,-0.3019,-0.1748,0.6320,-0.6178,-0.4887,-1.2498,-1.1207,-0.3773,-0.2483,-1.9612,-2.0903,-1.4632,0.8725,0.6637,-0.0162,0.1550,0.1565
6.8750,8.1100,8.0000,6.3700,4.8700,5.5000,-1.0169,-0.8898,-0.7640,-1.2027,-1.0756,-0.2531,-0.1260,0.6479,-0.3840,-0.2549,-1.0319,-0.9028,-0.0831,0.0459,-1.9390,-2.0681,-1.5513,0.9488,0.6996,-0.0309,0.1548,0.1566
7.0000,8.1100,8.0000,6.3700,4.8700,5.5000,-1.0391,-0.9120,-0.8282,-1.2313,-1.1042,-0.2109,-0.0838,0.6542,-0.1644,-0.0354,-0.8187,-0.6896,0.2017,0.3308,-1.9189,-2.0479,-1.6328,1.0204,0.7350,-0.0437,0.1547,0.1567
7.1250,8.1100,8.0000,6.3700,4.8700,5.5000,-1.0737,-0.9466,-0.8962,-1.2592,-1.1321,-0.1785,-0.0513,0.6475,0.0317,0.1607,-0.6156,-0.4865,0.4658,0.5949,-1.9011,-2.0301,-1.7022,1.0815,0.7687,-0.0550,0.1546,0.1567
7.2500,8.1100,8.0000,6.3700,4.8700,5.5000,-1.1240,-0.9969,-0.9657,-1.2863,-1.1593,-0.1583,-0.0312,0.6226,0.1978,0.3268,-0.4248,-0.2958,0.7032,0.8323,-1.8858,-2.0148,-1.7556,1.1280,0.8004,-0.0647,0.1545,0.1568
7.3750,8.1100,8.0000,6.3700,4.8700,5.5000,-1.1857,-1.0586,-1.0368,-1.3089,-1.1819,-0.1467,-0.0196,0.5835,0.3367,0.4658,-0.2479,-0.1188,0.9143,1.0434,-1.8725,-2.0015,-1.7945,1.1622,0.8293,-0.0732,0.1544,0.1569
7.5000,8.1100,8.0000,6.3700,4.8700,5.5000,-1.2512,-1.1241,-1.1080,-1.3251,-1.1980,-0.1431,-0.0161,0.5324,0.4451,0.5742,-0.0873,0.0418,1.0947,1.2237,-1.8609,-1.9899,-1.8160,1.1819,0.8548,-0.0813,0.1543,0.1569
7.6250,8.1100,8.0000,6.3700,4.8700,5.5000,-1.3205,-1.1934,-1.1760,-1.3369,-1.2099,-0.1454,-0.0183,0.4718,0.5299,0.6590,0.0570,0.1861,1.2492,1.3782,-1.8506,-1.9796,-1.8250,1.1917,0.8770,-0.0889,0.1542,0.1569
