Mon Aug 1 08:45:00 CLST 2016,,,,,,,,,,,,,,,
MAPPINGS IV HII Region Grid: fetched from pyqz 0.6.2,,,,,,,,,,,,,,,
Run: outdated MIV grid updated to match grid format from MAPPINGS V [use only if you know what you are doing!],,,,,,,,,,,,,,,
LogQ(1),Tot[O]+12(2),gas[O]+12(3),Tot[Fe](4),gas[Fe](5),LogP/k(6),[OIII]/Hb,[OI]/Ha,[NII]/Ha,[SII]+/Ha,[OIII]/[OII]+,[OIII]/[NII],[OIII]/[SII]+,[NII]/[SII]+,[SIII]/[SII]+,[NII]/[OII]+
8.5,9.39,9.39,-1,-1,5,-2.216,-3.439,-1.304,-1.865,-0.62,-1.437,-0.875,0.562,0.488,0.817
8.25,9.39,9.39,-1,-1,5,-2.407,-3.5,-1.379,-1.876,-0.615,-1.549,-1.052,0.497,0.444,0.934
8,9.39,9.39,-1,-1,5,-2.537,-3.517,-1.416,-1.844,-0.603,-1.639,-1.211,0.428,0.386,1.035
7.75,9.39,9.39,-1,-1,5,-2.643,-3.483,-1.42,-1.776,-0.614,-1.737,-1.382,0.355,0.311,1.123
7.5,9.39,9.39,-1,-1,5,-2.772,-3.435,-1.426,-1.709,-0.638,-1.86,-1.577,0.283,0.221,1.222
7.25,9.39,9.39,-1,-1,5,-3.013,-3.457,-1.495,-1.705,-0.673,-2.032,-1.822,0.21,0.121,1.359
7,9.39,9.39,-1,-1,5,-3.448,-3.603,-1.678,-1.813,-0.758,-2.288,-2.153,0.135,0.014,1.531
6.75,9.39,9.39,-1,-1,5,-4.074,-3.823,-1.965,-2.023,-0.949,-2.636,-2.578,0.058,-0.11,1.687
6.5,9.39,9.39,-1,-1,5,-5.135,-4.277,-2.53,-2.497,-1.185,-3.146,-3.179,-0.033,-0.248,1.961
8.5,9.17,9.17,-1,-1,5,-0.445,-2.443,-0.86,-1.267,-0.265,-0.08,0.327,0.407,0.58,-0.185
8.25,9.17,9.17,-1,-1,5,-0.474,-2.4,-0.8,-1.186,-0.32,-0.166,0.219,0.385,0.539,-0.154
8,9.17,9.17,-1,-1,5,-0.5,-2.323,-0.719,-1.07,-0.387,-0.27,0.081,0.351,0.476,-0.117
7.75,9.17,9.17,-1,-1,5,-0.541,-2.225,-0.628,-0.93,-0.474,-0.399,-0.097,0.302,0.386,-0.075
7.5,9.17,9.17,-1,-1,5,-0.63,-2.118,-0.545,-0.782,-0.598,-0.568,-0.331,0.237,0.264,-0.029
7.25,9.17,9.17,-1,-1,5,-0.801,-2.021,-0.489,-0.647,-0.778,-0.794,-0.637,0.158,0.117,0.017
7,9.17,9.17,-1,-1,5,-1.083,-1.941,-0.474,-0.54,-1.028,-1.09,-1.025,0.065,-0.049,0.062
6.75,9.17,9.17,-1,-1,5,-1.468,-1.878,-0.503,-0.469,-1.341,-1.448,-1.483,-0.034,-0.227,0.108
6.5,9.17,9.17,-1,-1,5,-1.931,-1.834,-0.568,-0.437,-1.691,-1.849,-1.979,-0.131,-0.41,0.158
8.5,8.99,8.99,-1,-1,5,0.174,-2.027,-0.911,-1.098,0.018,0.606,0.793,0.187,0.621,-0.588
8.25,8.99,8.99,-1,-1,5,0.154,-2.012,-0.863,-1.047,-0.032,0.539,0.723,0.184,0.596,-0.571
8,8.99,8.99,-1,-1,5,0.13,-1.976,-0.789,-0.963,-0.107,0.442,0.616,0.174,0.546,-0.549
7.75,8.99,8.99,-1,-1,5,0.088,-1.912,-0.691,-0.843,-0.217,0.304,0.455,0.151,0.462,-0.521
7.5,8.99,8.99,-1,-1,5,0.005,-1.824,-0.585,-0.696,-0.374,0.116,0.227,0.111,0.342,-0.491
7.25,8.99,8.99,-1,-1,5,-0.147,-1.718,-0.493,-0.542,-0.588,-0.127,-0.077,0.05,0.192,-0.461
7,8.99,8.99,-1,-1,5,-0.393,-1.6,-0.431,-0.397,-0.868,-0.434,-0.469,-0.035,0.017,-0.434
6.75,8.99,8.99,-1,-1,5,-0.741,-1.484,-0.41,-0.273,-1.211,-0.803,-0.94,-0.137,-0.172,-0.408
6.5,8.99,8.99,-1,-1,5,-1.168,-1.377,-0.424,-0.178,-1.597,-1.218,-1.464,-0.246,-0.37,-0.379
8.5,8.69,8.69,-1,-1,5,0.586,-1.879,-1.149,-1.033,0.256,1.27,1.154,-0.115,0.585,-1.014
8.25,8.69,8.69,-1,-1,5,0.571,-1.869,-1.124,-1.01,0.22,1.23,1.116,-0.114,0.578,-1.01
8,8.69,8.69,-1,-1,5,0.546,-1.844,-1.077,-0.963,0.155,1.158,1.045,-0.114,0.556,-1.003
7.75,8.69,8.69,-1,-1,5,0.504,-1.793,-0.999,-0.881,0.044,1.038,0.921,-0.117,0.503,-0.994
7.5,8.69,8.69,-1,-1,5,0.431,-1.708,-0.891,-0.761,-0.122,0.858,0.728,-0.13,0.407,-0.98
7.25,8.69,8.69,-1,-1,5,0.303,-1.592,-0.774,-0.614,-0.349,0.614,0.454,-0.16,0.272,-0.963
7,8.69,8.69,-1,-1,5,0.092,-1.454,-0.676,-0.458,-0.638,0.305,0.088,-0.217,0.106,-0.943
6.75,8.69,8.69,-1,-1,5,-0.221,-1.309,-0.615,-0.308,-0.988,-0.068,-0.375,-0.307,-0.083,-0.92
6.5,8.69,8.69,-1,-1,5,-0.626,-1.167,-0.596,-0.176,-1.39,-0.493,-0.913,-0.42,-0.287,-0.897
8.5,8.39,8.39,-1,-1,5,0.708,-1.928,-1.466,-1.093,0.359,1.716,1.344,-0.372,0.551,-1.358
8.25,8.39,8.39,-1,-1,5,0.701,-1.922,-1.454,-1.083,0.34,1.697,1.327,-0.371,0.549,-1.357
8,8.39,8.39,-1,-1,5,0.686,-1.907,-1.427,-1.058,0.299,1.656,1.287,-0.369,0.542,-1.357
7.75,8.39,8.39,-1,-1,5,0.656,-1.872,-1.376,-1.008,0.218,1.574,1.207,-0.368,0.518,-1.356
7.5,8.39,8.39,-1,-1,5,0.597,-1.807,-1.291,-0.921,0.078,1.431,1.061,-0.37,0.456,-1.352
7.25,8.39,8.39,-1,-1,5,0.486,-1.703,-1.181,-0.798,-0.132,1.21,0.827,-0.383,0.344,-1.342
7,8.39,8.39,-1,-1,5,0.292,-1.567,-1.073,-0.653,-0.415,0.907,0.488,-0.419,0.187,-1.322
6.75,8.39,8.39,-1,-1,5,-0.013,-1.415,-0.997,-0.504,-0.766,0.526,0.032,-0.493,-0.003,-1.292
6.5,8.39,8.39,-1,-1,5,-0.43,-1.261,-0.97,-0.364,-1.178,0.079,-0.526,-0.606,-0.216,-1.257
8.5,8.17,8.17,-1,-1,5,0.689,-2.017,-1.721,-1.192,0.398,1.954,1.425,-0.528,0.529,-1.555
8.25,8.17,8.17,-1,-1,5,0.684,-2.014,-1.714,-1.186,0.387,1.943,1.415,-0.528,0.528,-1.556
8,8.17,8.17,-1,-1,5,0.673,-2.004,-1.698,-1.172,0.359,1.915,1.389,-0.526,0.525,-1.556
7.75,8.17,8.17,-1,-1,5,0.647,-1.981,-1.663,-1.139,0.298,1.855,1.33,-0.524,0.512,-1.557
7.5,8.17,8.17,-1,-1,5,0.593,-1.932,-1.599,-1.074,0.18,1.735,1.211,-0.524,0.47,-1.555
