Thu Dec 10 13:42:28 CLST 2015
MAPPINGS V HII Region Grid: QZ pp_GCZO_Pk45_kinf
Run: pp,two,LPk=4.5,dep=Depln_Fe_1.50.txt,kap=inf,GCZFea05t2,SF=cont,a05,isp,#11,P6,Mv5.0.16,Svm802,FE15
Resampled with pyqz 0.7.2 (sampling=2) 2015-12-10 17:52:59.009483
Original LogQ: [ 6.5   6.75  7.    7.25  7.5   7.75  8.    8.25  8.5 ]
Original Tot[O]+12: [ 8.11   8.485  8.635  8.835  8.985]
LogQ(0),Tot[O]+12(1),gas[O]+12(2),Tot[Fe](3),gas[Fe](4),LogP/k(5),[NII]/Ha(6),[NII]+/Ha(7),[SII]+/Ha(8),[NII]/[OII]+(9),[NII]+/[OII]+(10),[NII]/[SII]+(11),[NII]+/[SII]+(12),[OII]+/Hb(13),[OIII]/Hb(14),[OIII]+/Hb(15),[OIII]/[OII]+(16),[OIII]+/[OII]+(17),[OIII]/[SII]+(18),[OIII]+/[SII]+(19),4363/[OIII](20),4363/[OIII]+(21),[OI]/[OII]+(22),[OII]+/[SII]+(23),R23(24),S23(25),6716/6731(26),3729/3726(27)
6.5000,8.1100,8.0000,6.3700,4.8700,4.5000,-1.0017,-0.8746,-0.5966,-1.1159,-0.9888,-0.4051,-0.2780,0.5801,-1.1165,-0.9875,-1.6966,-1.5675,-0.9858,-0.8568,-2.0108,-2.1398,-1.2742,0.7108,0.5917,0.0188,0.1601,0.1620
6.6250,8.1100,8.0000,6.3700,4.8700,4.5000,-0.9958,-0.8687,-0.6484,-1.1404,-1.0134,-0.3473,-0.2202,0.6101,-0.8613,-0.7322,-1.4713,-1.3423,-0.6778,-0.5488,-1.9855,-2.1145,-1.3725,0.7935,0.6286,0.0006,0.1599,0.1619
6.7500,8.1100,8.0000,6.3700,4.8700,4.5000,-0.9983,-0.8712,-0.7049,-1.1673,-1.0403,-0.2934,-0.1663,0.6335,-0.6153,-0.4862,-1.2487,-1.1197,-0.3748,-0.2458,-1.9617,-2.0907,-1.4668,0.8739,0.6652,-0.0159,0.1597,0.1619
6.8750,8.1100,8.0000,6.3700,4.8700,4.5000,-1.0096,-0.8825,-0.7659,-1.1962,-1.0692,-0.2439,-0.1168,0.6494,-0.3800,-0.2509,-1.0293,-0.9003,-0.0779,0.0511,-1.9394,-2.0684,-1.5564,0.9513,0.7015,-0.0309,0.1595,0.1619
7.0000,8.1100,8.0000,6.3700,4.8700,4.5000,-1.0322,-0.9051,-0.8316,-1.2252,-1.0981,-0.2006,-0.0735,0.6558,-0.1583,-0.0293,-0.8141,-0.6851,0.2105,0.3395,-1.9192,-2.0482,-1.6400,1.0246,0.7373,-0.0440,0.1594,0.1619
7.1250,8.1100,8.0000,6.3700,4.8700,4.5000,-1.0687,-0.9417,-0.9017,-1.2540,-1.1269,-0.1670,-0.0399,0.6480,0.0408,0.1698,-0.6072,-0.4782,0.4806,0.6096,-1.9012,-2.0302,-1.7124,1.0879,0.7718,-0.0556,0.1592,0.1618
7.2500,8.1100,8.0000,6.3700,4.8700,4.5000,-1.1215,-0.9945,-0.9762,-1.2827,-1.1557,-0.1454,-0.0183,0.6221,0.2109,0.3400,-0.4112,-0.2821,0.7262,0.8552,-1.8857,-2.0147,-1.7703,1.1374,0.8046,-0.0659,0.1590,0.1618
7.3750,8.1100,8.0000,6.3700,4.8700,4.5000,-1.1869,-1.0599,-1.0545,-1.3074,-1.1804,-0.1325,-0.0054,0.5802,0.3550,0.4841,-0.2253,-0.0961,0.9496,1.0787,-1.8721,-2.0010,-1.8145,1.1749,0.8351,-0.0751,0.1588,0.1618
7.5000,8.1100,8.0000,6.3700,4.8700,4.5000,-1.2646,-1.1375,-1.1362,-1.3264,-1.1994,-0.1283,-0.0013,0.5208,0.4700,0.5991,-0.0508,0.0783,1.1473,1.2764,-1.8597,-1.9887,-1.8426,1.1981,0.8627,-0.0842,0.1587,0.1618
7.6250,8.1100,8.0000,6.3700,4.8700,4.5000,-1.3514,-1.2242,-1.2209,-1.3417,-1.2147,-0.1303,-0.0033,0.4483,0.5627,0.6917,0.1143,0.2434,1.3256,1.4547,-1.8483,-1.9773,-1.8584,1.2113,0.8878,-0.0935,0.1586,0.1618
