Thu Dec 10 14:37:50 CLST 2015
MAPPINGS V HII Region Grid: QZ sph_GCZO_Pk50_kinf
Run: sph,two,LPk=5.0,dep=Depln_Fe_1.50.txt,kap=inf,GCZFea05t2,SF=cont,a05,isp,#11,P6,Mv5.0.16,Svm802,FE15
LogQ(1),Tot[O]+12(2),gas[O]+12(3),Tot[Fe](4),gas[Fe](5),LogP/k(6),[NII]/Ha(7),[NII]+/Ha(8),[SII]+/Ha(9),[NII]/[OII]+(10),[NII]+/[OII]+(11),[NII]/[SII]+(12),[NII]+/[SII]+(13),[OII]+/Hb(14),[OIII]/Hb(15),[OIII]+/Hb(16),[OIII]/[OII]+(17),[OIII]+/[OII]+(18),[OIII]/[SII]+(19),[OIII]+/[SII]+(20),4363/[OIII](21),4363/[OIII]+(22),[OI]/[OII]+(23),[OII]+/[SII]+(24),R23(25),S23(26),6716/6731(27),3729/3726(28)
   6.5000,  8.1100,  8.0000,  6.3700,  4.8700,  5.0000, -1.0042, -0.8771, -0.5957, -1.1180, -0.9909, -0.4085, -0.2814,  0.5793, -1.1187, -0.9897, -1.6980, -1.5689, -0.9885, -0.8595, -2.0107, -2.1397, -1.2719,  0.7095,  0.5908,  0.0189,  0.1590,  0.1606
   6.5000,  8.4850,  8.3750,  6.9700,  5.4700,  5.0000, -0.4956, -0.3685, -0.2452, -0.8164, -0.6893, -0.2504, -0.1233,  0.7823, -0.9908, -0.8617, -1.7730, -1.6440, -1.2071, -1.0780, -2.1684, -2.2974, -1.2662,  0.5660,  0.7920,  0.3631,  0.1596,  0.1605
   6.5000,  8.6350,  8.5250,  7.2700,  5.7700,  5.0000, -0.3516, -0.2245, -0.1522, -0.6315, -0.5044, -0.1994, -0.0723,  0.7425, -1.1241, -0.9951, -1.8666, -1.7375, -1.4345, -1.3055, -2.3284, -2.4574, -1.2675,  0.4321,  0.7503,  0.4501,  0.1602,  0.1604
   6.5000,  8.8350,  8.7250,  7.6700,  6.1700,  5.0000, -0.2738, -0.1468, -0.1613, -0.2942, -0.1671, -0.1125,  0.0145,  0.4898, -1.5325, -1.4035, -2.0223, -1.8933, -1.8407, -1.7117, -2.6824, -2.8114, -1.2504,  0.1816,  0.4953,  0.4508,  0.1613,  0.1599
   6.5000,  8.9850,  8.8750,  7.9700,  6.4700,  5.0000, -0.4017, -0.2746, -0.3413,  0.0911,  0.2182, -0.0604,  0.0667, -0.0121, -2.2961, -2.1670, -2.2840, -2.1549, -2.4355, -2.3064,    -inf,    -inf, -1.1624, -0.1515, -0.0091,  0.2850,  0.1615,  0.1588
c
   6.7500,  8.1100,  8.0000,  6.3700,  4.8700,  5.0000, -1.0007, -0.8737, -0.7024, -1.1689, -1.0418, -0.2983, -0.1713,  0.6322, -0.6204, -0.4913, -1.2526, -1.1235, -0.3820, -0.2530, -1.9617, -2.0908, -1.4618,  0.8705,  0.6637, -0.0153,  0.1586,  0.1606
   6.7500,  8.4850,  8.3750,  6.9700,  5.4700,  5.0000, -0.5006, -0.3735, -0.3585, -0.8531, -0.7260, -0.1421, -0.0150,  0.8130, -0.5191, -0.3901, -1.3321, -1.2031, -0.6211, -0.4921, -2.1445, -2.2735, -1.4410,  0.7110,  0.8393,  0.3211,  0.1593,  0.1605
   6.7500,  8.6350,  8.5250,  7.2700,  5.7700,  5.0000, -0.3584, -0.2314, -0.2633, -0.6600, -0.5330, -0.0952,  0.0319,  0.7636, -0.6659, -0.5369, -1.4295, -1.3004, -0.8646, -0.7356, -2.3151, -2.4441, -1.4370,  0.5649,  0.7848,  0.4070,  0.1600,  0.1603
   6.7500,  8.8350,  8.7250,  7.6700,  6.1700,  5.0000, -0.2728, -0.1457, -0.2612, -0.3177, -0.1906, -0.0117,  0.1154,  0.5139, -1.0802, -0.9512, -1.5940, -1.4650, -1.2880, -1.1590, -2.6710, -2.8000, -1.4256,  0.3061,  0.5285,  0.4175,  0.1611,  0.1598
