Thu Dec 10 14:16:36 CLST 2015
MAPPINGS V HII Region Grid: QZ pp_GCZO_Pk50_kinf
Run: pp,two,LPk=5.0,dep=Depln_Fe_1.50.txt,kap=inf,GCZFea05t2,SF=cont,a05,isp,#11,P6,Mv5.0.16,Svm802,FE15
LogQ(1),Tot[O]+12(2),gas[O]+12(3),Tot[Fe](4),gas[Fe](5),LogP/k(6),[NII]/Ha(7),[NII]+/Ha(8),[SII]+/Ha(9),[NII]/[OII]+(10),[NII]+/[OII]+(11),[NII]/[SII]+(12),[NII]+/[SII]+(13),[OII]+/Hb(14),[OIII]/Hb(15),[OIII]+/Hb(16),[OIII]/[OII]+(17),[OIII]+/[OII]+(18),[OIII]/[SII]+(19),[OIII]+/[SII]+(20),4363/[OIII](21),4363/[OIII]+(22),[OI]/[OII]+(23),[OII]+/[SII]+(24),R23(25),S23(26),6716/6731(27),3729/3726(28)
   6.5000,  8.1100,  8.0000,  6.3700,  4.8700,  5.0000, -1.0040, -0.8770, -0.5967, -1.1183, -0.9912, -0.4074, -0.2803,  0.5797, -1.1165, -0.9875, -1.6963, -1.5672, -0.9853, -0.8563, -2.0106, -2.1396, -1.2740,  0.7109,  0.5913,  0.0184,  0.1590,  0.1606
   6.5000,  8.4850,  8.3750,  6.9700,  5.4700,  5.0000, -0.4955, -0.3684, -0.2460, -0.8166, -0.6895, -0.2494, -0.1224,  0.7826, -0.9889, -0.8598, -1.7715, -1.6424, -1.2043, -1.0753, -2.1683, -2.2974, -1.2680,  0.5672,  0.7924,  0.3627,  0.1596,  0.1605
   6.5000,  8.6350,  8.5250,  7.2700,  5.7700,  5.0000, -0.3515, -0.2244, -0.1529, -0.6317, -0.5046, -0.1986, -0.0716,  0.7427, -1.1225, -0.9934, -1.8652, -1.7362, -1.4322, -1.3031, -2.3283, -2.4574, -1.2689,  0.4331,  0.7506,  0.4498,  0.1602,  0.1604
   6.5000,  8.8350,  8.7250,  7.6700,  6.1700,  5.0000, -0.2737, -0.1466, -0.1617, -0.2943, -0.1672, -0.1120,  0.0151,  0.4901, -1.5312, -1.4022, -2.0213, -1.8923, -1.8390, -1.7100, -2.6823, -2.8114, -1.2515,  0.1823,  0.4956,  0.4507,  0.1613,  0.1599
   6.5000,  8.9850,  8.8750,  7.9700,  6.4700,  5.0000, -0.4014, -0.2743, -0.3414,  0.0910,  0.2181, -0.0600,  0.0670, -0.0118, -2.2951, -2.1660, -2.2833, -2.1542, -2.4343, -2.3053,    -inf,    -inf, -1.1632, -0.1511, -0.0088,  0.2851,  0.1616,  0.1588
c
   6.7500,  8.1100,  8.0000,  6.3700,  4.8700,  5.0000, -1.0007, -0.8736, -0.7050, -1.1697, -1.0427, -0.2956, -0.1686,  0.6331, -0.6153, -0.4862, -1.2484, -1.1194, -0.3743, -0.2453, -1.9615, -2.0906, -1.4666,  0.8741,  0.6649, -0.0162,  0.1586,  0.1606
   6.7500,  8.4850,  8.3750,  6.9700,  5.4700,  5.0000, -0.5006, -0.3735, -0.3608, -0.8537, -0.7266, -0.1398, -0.0127,  0.8135, -0.5149, -0.3858, -1.3284, -1.1994, -0.6145, -0.4854, -2.1443, -2.2733, -1.4451,  0.7139,  0.8401,  0.3202,  0.1593,  0.1605
   6.7500,  8.6350,  8.5250,  7.2700,  5.7700,  5.0000, -0.3584, -0.2314, -0.2652, -0.6605, -0.5334, -0.0932,  0.0339,  0.7640, -0.6623, -0.5332, -1.4262, -1.2972, -0.8590, -0.7300, -2.3150, -2.4441, -1.4406,  0.5673,  0.7854,  0.4063,  0.1600,  0.1603
   6.7500,  8.8350,  8.7250,  7.6700,  6.1700,  5.0000, -0.2727, -0.1456, -0.2625, -0.3180, -0.1909, -0.0103,  0.1168,  0.5142, -1.0774, -0.9483, -1.5916, -1.4626, -1.2839, -1.1548, -2.6710, -2.8000, -1.4284,  0.3077,  0.5289,  0.4171,  0.1611,  0.1598
