Thu Dec 10 14:54:43 CLST 2015
MAPPINGS V HII Region Grid: QZ pp_GCZO_Pk55_kinf
Run: pp,two,LPk=5.5,dep=Depln_Fe_1.50.txt,kap=inf,GCZFea05t2,SF=cont,a05,isp,#11,P6,Mv5.0.16,Svm802,FE15
LogQ(1),Tot[O]+12(2),gas[O]+12(3),Tot[Fe](4),gas[Fe](5),LogP/k(6),[NII]/Ha(7),[NII]+/Ha(8),[SII]+/Ha(9),[NII]/[OII]+(10),[NII]+/[OII]+(11),[NII]/[SII]+(12),[NII]+/[SII]+(13),[OII]+/Hb(14),[OIII]/Hb(15),[OIII]+/Hb(16),[OIII]/[OII]+(17),[OIII]+/[OII]+(18),[OIII]/[SII]+(19),[OIII]+/[SII]+(20),4363/[OIII](21),4363/[OIII]+(22),[OI]/[OII]+(23),[OII]+/[SII]+(24),R23(25),S23(26),6716/6731(27),3729/3726(28)
   6.5000,  8.1100,  8.0000,  6.3700,  4.8700,  5.5000, -1.0094, -0.8824, -0.5973, -1.1235, -0.9964, -0.4122, -0.2851,  0.5791, -1.1161, -0.9871, -1.6952, -1.5662, -0.9840, -0.8549, -2.0102, -2.1392, -1.2732,  0.7113,  0.5907,  0.0177,  0.1554,  0.1564
   6.5000,  8.4850,  8.3750,  6.9700,  5.4700,  5.5000, -0.4994, -0.3724, -0.2452, -0.8231, -0.6960, -0.2542, -0.1271,  0.7846, -0.9858, -0.8568, -1.7704, -1.6414, -1.2016, -1.0725, -2.1656, -2.2946, -1.2679,  0.5688,  0.7944,  0.3633,  0.1554,  0.1556
   6.5000,  8.6350,  8.5250,  7.2700,  5.7700,  5.5000, -0.3519, -0.2248, -0.1488, -0.6405, -0.5135, -0.2031, -0.0760,  0.7505, -1.1141, -0.9851, -1.8647, -1.7356, -1.4272, -1.2982, -2.3210, -2.4500, -1.2699,  0.4374,  0.7584,  0.4535,  0.1552,  0.1546
   6.5000,  8.8350,  8.7250,  7.6700,  6.1700,  5.5000, -0.2574, -0.1303, -0.1412, -0.3133, -0.1862, -0.1161,  0.0109,  0.5241, -1.5018, -1.3727, -2.0259, -1.8968, -1.8287, -1.6997, -2.6559, -2.7849, -1.2533,  0.1972,  0.5296,  0.4695,  0.1544,  0.1522
   6.5000,  8.9850,  8.8750,  7.9700,  6.4700,  5.5000, -0.3368, -0.2098, -0.2742,  0.0427,  0.1698, -0.0626,  0.0644,  0.0981, -2.2072, -2.0782, -2.3053, -2.1763, -2.4107, -2.2816,    -inf,    -inf, -1.1762, -0.1053,  0.1010,  0.3463,  0.1520,  0.1483
c
   6.7500,  8.1100,  8.0000,  6.3700,  4.8700,  5.5000, -1.0060, -0.8790, -0.7056, -1.1749, -1.0478, -0.3004, -0.1733,  0.6325, -0.6149, -0.4859, -1.2474, -1.1184, -0.3730, -0.2439, -1.9611, -2.0901, -1.4660,  0.8745,  0.6644, -0.0167,  0.1550,  0.1565
   6.7500,  8.4850,  8.3750,  6.9700,  5.4700,  5.5000, -0.5047, -0.3777, -0.3602, -0.8601, -0.7331, -0.1445, -0.0175,  0.8154, -0.5119, -0.3829, -1.3273, -1.1983, -0.6117, -0.4826, -2.1417, -2.2708, -1.4452,  0.7156,  0.8420,  0.3209,  0.1551,  0.1556
   6.7500,  8.6350,  8.5250,  7.2700,  5.7700,  5.5000, -0.3594, -0.2323, -0.2618, -0.6691, -0.5421, -0.0976,  0.0294,  0.7711, -0.6544, -0.5254, -1.4255, -1.2965, -0.8540, -0.7250, -2.3082, -2.4373, -1.4418,  0.5715,  0.7925,  0.4097,  0.1549,  0.1545
   6.7500,  8.8350,  8.7250,  7.6700,  6.1700,  5.5000, -0.2586, -0.1315, -0.2447, -0.3359, -0.2088, -0.0140,  0.1131,  0.5450, -1.0502, -0.9212, -1.5952, -1.4662, -1.2733, -1.1442, -2.6469, -2.7759, -1.4305,  0.3219,  0.5596,  0.4335,  0.1541,  0.1520
   6.7500,  8.9850,  8.8750,  7.9700,  6.4700,  5.5000, -0.3289, -0.2018, -0.3603,  0.0257,  0.1527,  0.0314,  0.1585,  0.1223, -1.7655, -1.6365, -1.8878, -1.7588, -1.8820, -1.7530, -3.0909, -3.2200, -1.3515,  0.0058,  0.1298,  0.3235,  0.1518,  0.1480
c
   7.0000,  8.1100,  8.0000,  6.3700,  4.8700,  5.5000, -1.0398, -0.9128, -0.8323, -1.2327, -1.1056, -0.2076, -0.0805,  0.6549, -0.1579, -0.0289, -0.8128, -0.6838,  0.2123,  0.3413, -1.9186, -2.0477, -1.6392,  1.0251,  0.7366, -0.0446,  0.1547,  0.1567
   7.0000,  8.4850,  8.3750,  6.9700,  5.4700,  5.5000, -0.5462, -0.4192, -0.4997, -0.9003, -0.7732, -0.0465,  0.0805,  0.8131, -0.0843,  0.0448, -0.8973, -0.7683, -0.0436,  0.0854, -2.1312, -2.2602, -1.6044,  0.8538,  0.8815,  0.2788,  0.1548,  0.1555
   7.0000,  8.6350,  8.5250,  7.2700,  5.7700,  5.5000, -0.3985, -0.2715, -0.4012, -0.6995, -0.5724,  0.0026,  0.1297,  0.7619, -0.2357, -0.1066, -0.9976, -0.8685, -0.2954, -0.1664, -2.3098, -2.4388, -1.6002,  0.7021,  0.8171,  0.3638,  0.1547,  0.1544
   7.0000,  8.8350,  8.7250,  7.6700,  6.1700,  5.5000, -0.2850, -0.1580, -0.3759, -0.3583, -0.2312,  0.0908,  0.2179,  0.5408, -0.6306, -0.5015, -1.1714, -1.0424, -0.7223, -0.5932, -2.6527, -2.7817, -1.6050,  0.4491,  0.5785,  0.3936,  0.1538,  0.1518
   7.0000,  8.9850,  8.8750,  7.9700,  6.4700,  5.5000, -0.3391, -0.2120, -0.4730,  0.0110,  0.1381,  0.1340,  0.2610,  0.1264, -1.3450, -1.2160, -1.4714, -1.3424, -1.3485, -1.2194, -3.0945, -3.2236, -1.5275,  0.1230,  0.1457,  0.2959,  0.1515,  0.1477
c
   7.2500,  8.1100,  8.0000,  6.3700,  4.8700,  5.5000, -1.1291, -1.0020, -0.9768, -1.2901, -1.1631, -0.1522, -0.0252,  0.6212,  0.2113,  0.3404, -0.4099, -0.2808,  0.7280,  0.8570, -1.8851, -2.0141, -1.7695,  1.1379,  0.8041, -0.0664,  0.1544,  0.1568
   7.2500,  8.4850,  8.3750,  6.9700,  5.4700,  5.5000, -0.6428, -0.5157, -0.6639, -0.9405, -0.8134,  0.0212,  0.1483,  0.7561,  0.2554,  0.3844, -0.5008, -0.3717,  0.4609,  0.5899, -2.1375, -2.2665, -1.7242,  0.9617,  0.9099,  0.2358,  0.1547,  0.1555
   7.2500,  8.6350,  8.5250,  7.2700,  5.7700,  5.5000, -0.4874, -0.3604, -0.5680, -0.7306, -0.6035,  0.0806,  0.2077,  0.7041,  0.1022,  0.2312, -0.6020, -0.4730,  0.2092,  0.3382, -2.3315, -2.4605, -1.7266,  0.8112,  0.8301,  0.3146,  0.1546,  0.1543
   7.2500,  8.8350,  8.7250,  7.6700,  6.1700,  5.5000, -0.3527, -0.2256, -0.5373, -0.3808, -0.2537,  0.1847,  0.3117,  0.4960, -0.2807, -0.1517, -0.7767, -0.6477, -0.2112, -0.0822, -2.6848, -2.8138, -1.7643,  0.5655,  0.5841,  0.3478,  0.1536,  0.1515
   7.2500,  8.9850,  8.8750,  7.9700,  6.4700,  5.5000, -0.3752, -0.2481, -0.6120, -0.0036,  0.1235,  0.2368,  0.3639,  0.1048, -0.9724, -0.8433, -1.0772, -0.9482, -0.8368, -0.7077, -3.1198, -3.2488, -1.6931,  0.2404,  0.1512,  0.2643,  0.1512,  0.1474
c
   7.5000,  8.1100,  8.0000,  6.3700,  4.8700,  5.5000, -1.2721, -1.1450, -1.1369, -1.3338, -1.2067, -0.1352, -0.0081,  0.5200,  0.4705,  0.5995, -0.0495,  0.0795,  1.1491,  1.2781, -1.8591, -1.9881, -1.8417,  1.1986,  0.8626, -0.0845,  0.1542,  0.1569
   7.5000,  8.4850,  8.3750,  6.9700,  5.4700,  5.5000, -0.7936, -0.6665, -0.8470, -0.9722, -0.8452,  0.0535,  0.1805,  0.6369,  0.4844,  0.6134, -0.1525, -0.0235,  0.8732,  1.0023, -2.1546, -2.2836, -1.7899,  1.0257,  0.9264,  0.1915,  0.1546,  0.1555
   7.5000,  8.6350,  8.5250,  7.2700,  5.7700,  5.5000, -0.6288, -0.5018, -0.7571, -0.7557, -0.6286,  0.1283,  0.2553,  0.5884,  0.3312,  0.4602, -0.2572, -0.1282,  0.6268,  0.7558, -2.3694, -2.4984, -1.8039,  0.8840,  0.8300,  0.2613,  0.1544,  0.1541
