Thu Dec 10 14:37:50 CLST 2015
MAPPINGS V HII Region Grid: QZ sph_GCZO_Pk50_kinf
Run: sph,two,LPk=5.0,dep=Depln_Fe_1.50.txt,kap=inf,GCZFea05t2,SF=cont,a05,isp,#11,P6,Mv5.0.16,Svm802,FE15
Resampled with pyqz 0.8.4 (sampling=2) 2017-06-13 15:25:48.819285
Original LogQ: [ 6.5   6.75  7.    7.25  7.5   7.75  8.    8.25  8.5 ]
Original Tot[O]+12: [ 8.11   8.485  8.635  8.835  8.985]
LogQ(0),Tot[O]+12(1),gas[O]+12(2),Tot[Fe](3),gas[Fe](4),LogP/k(5),[NII]/Ha(6),[NII]+/Ha(7),[SII]+/Ha(8),[NII]/[OII]+(9),[NII]+/[OII]+(10),[NII]/[SII]+(11),[NII]+/[SII]+(12),[OII]+/Hb(13),[OIII]/Hb(14),[OIII]+/Hb(15),[OIII]/[OII]+(16),[OIII]+/[OII]+(17),[OIII]/[SII]+(18),[OIII]+/[SII]+(19),4363/[OIII](20),4363/[OIII]+(21),[OI]/[OII]+(22),[OII]+/[SII]+(23),R23(24),S23(25),6716/6731(26),3729/3726(27)
6.5000,8.1100,8.0000,6.3700,4.8700,5.0000,-1.0042,-0.8771,-0.5957,-1.1180,-0.9909,-0.4085,-0.2814,0.5793,-1.1187,-0.9897,-1.6980,-1.5689,-0.9885,-0.8595,-2.0107,-2.1397,-1.2719,0.7095,0.5908,0.0189,0.1590,0.1606
6.6250,8.1100,8.0000,6.3700,4.8700,5.0000,-0.9983,-0.8713,-0.6469,-1.1427,-1.0156,-0.3512,-0.2242,0.6091,-0.8646,-0.7355,-1.4736,-1.3445,-0.6821,-0.5531,-1.9854,-2.1145,-1.3692,0.7914,0.6275,0.0009,0.1588,0.1606
6.7500,8.1100,8.0000,6.3700,4.8700,5.0000,-1.0007,-0.8737,-0.7024,-1.1689,-1.0418,-0.2983,-0.1713,0.6322,-0.6204,-0.4913,-1.2526,-1.1235,-0.3820,-0.2530,-1.9617,-2.0908,-1.4618,0.8705,0.6637,-0.0153,0.1586,0.1606
6.8750,8.1100,8.0000,6.3700,4.8700,5.0000,-1.0112,-0.8843,-0.7615,-1.1969,-1.0698,-0.2501,-0.1230,0.6481,-0.3877,-0.2587,-1.0358,-0.9067,-0.0897,0.0393,-1.9396,-2.0687,-1.5488,0.9460,0.6993,-0.0299,0.1584,0.1606
7.0000,8.1100,8.0000,6.3700,4.8700,5.0000,-1.0332,-0.9062,-0.8245,-1.2251,-1.0980,-0.2087,-0.0816,0.6543,-0.1697,-0.0407,-0.8241,-0.6950,0.1923,0.3214,-1.9195,-2.0486,-1.6286,1.0164,0.7342,-0.0426,0.1583,0.1606
7.1250,8.1100,8.0000,6.3700,4.8700,5.0000,-1.0667,-0.9396,-0.8908,-1.2523,-1.1252,-0.1771,-0.0501,0.6481,0.0243,0.1532,-0.6236,-0.4945,0.4523,0.5814,-1.9018,-2.0308,-1.6959,1.0760,0.7673,-0.0537,0.1581,0.1606
7.2500,8.1100,8.0000,6.3700,4.8700,5.0000,-1.1151,-0.9880,-0.9571,-1.2785,-1.1514,-0.1580,-0.0310,0.6241,0.1874,0.3164,-0.4367,-0.3077,0.6838,0.8128,-1.8867,-2.0157,-1.7463,1.1205,0.7980,-0.0632,0.1580,0.1606
7.3750,8.1100,8.0000,6.3700,4.8700,5.0000,-1.1737,-1.0467,-1.0229,-1.2998,-1.1727,-0.1474,-0.0204,0.5863,0.3228,0.4519,-0.2655,-0.1366,0.8870,1.0160,-1.8737,-2.0027,-1.7819,1.1525,0.8257,-0.0715,0.1579,0.1606
7.5000,8.1100,8.0000,6.3700,4.8700,5.0000,-1.2325,-1.1055,-1.0884,-1.3143,-1.1872,-0.1441,-0.0171,0.5408,0.4270,0.5561,-0.1137,0.0153,1.0564,1.1855,-1.8625,-1.9915,-1.7999,1.1702,0.8495,-0.0790,0.1578,0.1606
7.6250,8.1100,8.0000,6.3700,4.8700,5.0000,-1.2915,-1.1645,-1.1485,-1.3243,-1.1973,-0.1461,-0.0190,0.4887,0.5073,0.6364,0.0191,0.1482,1.1978,1.3269,-1.8528,-1.9818,-1.8056,1.1783,0.8699,-0.0858,0.1578,0.1606
