Thu Dec 10 13:42:28 CLST 2015
MAPPINGS V HII Region Grid: QZ pp_GCZO_Pk45_kinf
Run: pp,two,LPk=4.5,dep=Depln_Fe_1.50.txt,kap=inf,GCZFea05t2,SF=cont,a05,isp,#11,P6,Mv5.0.16,Svm802,FE15
LogQ(1),Tot[O]+12(2),gas[O]+12(3),Tot[Fe](4),gas[Fe](5),LogP/k(6),[NII]/Ha(7),[NII]+/Ha(8),[SII]+/Ha(9),[NII]/[OII]+(10),[NII]+/[OII]+(11),[NII]/[SII]+(12),[NII]+/[SII]+(13),[OII]+/Hb(14),[OIII]/Hb(15),[OIII]+/Hb(16),[OIII]/[OII]+(17),[OIII]+/[OII]+(18),[OIII]/[SII]+(19),[OIII]+/[SII]+(20),4363/[OIII](21),4363/[OIII]+(22),[OI]/[OII]+(23),[OII]+/[SII]+(24),R23(25),S23(26),6716/6731(27),3729/3726(28)
   6.5000,  8.1100,  8.0000,  6.3700,  4.8700,  4.5000, -1.0017, -0.8746, -0.5966, -1.1159, -0.9888, -0.4051, -0.2780,  0.5801, -1.1165, -0.9875, -1.6966, -1.5675, -0.9858, -0.8568, -2.0108, -2.1398, -1.2742,  0.7108,  0.5917,  0.0188,  0.1601,  0.1620
   6.5000,  8.4850,  8.3750,  6.9700,  5.4700,  4.5000, -0.4937, -0.3666, -0.2466, -0.8134, -0.6863, -0.2471, -0.1200,  0.7817, -0.9901, -0.8611, -1.7718, -1.6427, -1.2055, -1.0764, -2.1697, -2.2987, -1.2677,  0.5663,  0.7914,  0.3624,  0.1610,  0.1621
   6.5000,  8.6350,  8.5250,  7.2700,  5.7700,  4.5000, -0.3516, -0.2245, -0.1553, -0.6270, -0.4999, -0.1963, -0.0692,  0.7386, -1.1267, -0.9976, -1.8652, -1.7362, -1.4346, -1.3056, -2.3322, -2.4613, -1.2678,  0.4306,  0.7465,  0.4479,  0.1619,  0.1622
   6.5000,  8.8350,  8.7250,  7.6700,  6.1700,  4.5000, -0.2840, -0.1569, -0.1742, -0.2826, -0.1555, -0.1098,  0.0173,  0.4691, -1.5491, -1.4200, -2.0181, -1.8891, -1.8453, -1.7163, -2.6987, -2.8277, -1.2485,  0.1728,  0.4747,  0.4394,  0.1636,  0.1624
   6.5000,  8.9850,  8.8750,  7.9700,  6.4700,  4.5000, -0.4495, -0.3225, -0.3914,  0.1278,  0.2549, -0.0582,  0.0689, -0.0944, -2.3600, -2.2310, -2.2656, -2.1365, -2.4516, -2.3225,    -inf,    -inf, -1.1502, -0.1860, -0.0912,  0.2399,  0.1649,  0.1626
c
   6.7500,  8.1100,  8.0000,  6.3700,  4.8700,  4.5000, -0.9983, -0.8712, -0.7049, -1.1673, -1.0403, -0.2934, -0.1663,  0.6335, -0.6153, -0.4862, -1.2487, -1.1197, -0.3748, -0.2458, -1.9617, -2.0907, -1.4668,  0.8739,  0.6652, -0.0159,  0.1597,  0.1619
   6.7500,  8.4850,  8.3750,  6.9700,  5.4700,  4.5000, -0.4987, -0.3717, -0.3613, -0.8505, -0.7234, -0.1374, -0.0103,  0.8126, -0.5161, -0.3870, -1.3287, -1.1997, -0.6156, -0.4866, -2.1456, -2.2746, -1.4448,  0.7131,  0.8392,  0.3200,  0.1607,  0.1621
   6.7500,  8.6350,  8.5250,  7.2700,  5.7700,  4.5000, -0.3582, -0.2311, -0.2672, -0.6558, -0.5288, -0.0909,  0.0361,  0.7602, -0.6661, -0.5371, -1.4263, -1.2973, -0.8614, -0.7324, -2.3186, -2.4476, -1.4394,  0.5649,  0.7816,  0.4046,  0.1617,  0.1622
   6.7500,  8.8350,  8.7250,  7.6700,  6.1700,  4.5000, -0.2816, -0.1545, -0.2734, -0.3070, -0.1799, -0.0082,  0.1189,  0.4954, -1.0936, -0.9646, -1.5890, -1.4600, -1.2902, -1.1611, -2.6856, -2.8147, -1.4255,  0.2988,  0.5102,  0.4073,  0.1635,  0.1624
