Thu Dec 10 14:01:32 CLST 2015
MAPPINGS V HII Region Grid: QZ sph_GCZO_Pk45_kinf
Run: sph,two,LPk=4.5,dep=Depln_Fe_1.50.txt,kap=inf,GCZFea05t2,SF=cont,a05,isp,#11,P6,Mv5.0.16,Svm802,FE15
LogQ(1),Tot[O]+12(2),gas[O]+12(3),Tot[Fe](4),gas[Fe](5),LogP/k(6),[NII]/Ha(7),[NII]+/Ha(8),[SII]+/Ha(9),[NII]/[OII]+(10),[NII]+/[OII]+(11),[NII]/[SII]+(12),[NII]+/[SII]+(13),[OII]+/Hb(14),[OIII]/Hb(15),[OIII]+/Hb(16),[OIII]/[OII]+(17),[OIII]+/[OII]+(18),[OIII]/[SII]+(19),[OIII]+/[SII]+(20),4363/[OIII](21),4363/[OIII]+(22),[OI]/[OII]+(23),[OII]+/[SII]+(24),R23(25),S23(26),6716/6731(27),3729/3726(28)
   6.5000,  8.1100,  8.0000,  6.3700,  4.8700,  4.5000, -1.0020, -0.8749, -0.5949, -1.1153, -0.9882, -0.4071, -0.2800,  0.5792, -1.1204, -0.9913, -1.6996, -1.5706, -0.9914, -0.8624, -2.0110, -2.1400, -1.2706,  0.7082,  0.5907,  0.0196,  0.1601,  0.1620
   6.5000,  8.4850,  8.3750,  6.9700,  5.4700,  4.5000, -0.4939, -0.3668, -0.2451, -0.8129, -0.6859, -0.2488, -0.1217,  0.7810, -0.9935, -0.8645, -1.7746, -1.6455, -1.2104, -1.0813, -2.1698, -2.2988, -1.2646,  0.5642,  0.7907,  0.3631,  0.1610,  0.1621
   6.5000,  8.6350,  8.5250,  7.2700,  5.7700,  4.5000, -0.3517, -0.2247, -0.1541, -0.6266, -0.4995, -0.1977, -0.0706,  0.7381, -1.1296, -1.0006, -1.8677, -1.7386, -1.4387, -1.3097, -2.3323, -2.4613, -1.2652,  0.4289,  0.7459,  0.4484,  0.1619,  0.1622
   6.5000,  8.8350,  8.7250,  7.6700,  6.1700,  4.5000, -0.2842, -0.1572, -0.1735, -0.2823, -0.1552, -0.1107,  0.0164,  0.4686, -1.5513, -1.4223, -2.0199, -1.8909, -1.8483, -1.7193, -2.6987, -2.8277, -1.2466,  0.1716,  0.4741,  0.4396,  0.1637,  0.1624
   6.5000,  8.9850,  8.8750,  7.9700,  6.4700,  4.5000, -0.4499, -0.3228, -0.3912,  0.1280,  0.2551, -0.0587,  0.0684, -0.0950, -2.3617, -2.2327, -2.2667, -2.1377, -2.4535, -2.3244,    -inf,    -inf, -1.1490, -0.1867, -0.0918,  0.2397,  0.1649,  0.1626
c
   6.7500,  8.1100,  8.0000,  6.3700,  4.8700,  4.5000, -0.9985, -0.8714, -0.7004, -1.1658, -1.0387, -0.2981, -0.1711,  0.6318, -0.6242, -0.4952, -1.2560, -1.1270, -0.3884, -0.2593, -1.9621, -2.0911, -1.4583,  0.8677,  0.6631, -0.0143,  0.1598,  0.1619
   6.7500,  8.4850,  8.3750,  6.9700,  5.4700,  4.5000, -0.4987, -0.3717, -0.3572, -0.8494, -0.7224, -0.1415, -0.0144,  0.8116, -0.5236, -0.3946, -1.3353, -1.2062, -0.6273, -0.4983, -2.1458, -2.2748, -1.4376,  0.7079,  0.8378,  0.3215,  0.1607,  0.1621
   6.7500,  8.6350,  8.5250,  7.2700,  5.7700,  4.5000, -0.3582, -0.2311, -0.2638, -0.6551, -0.5280, -0.0943,  0.0327,  0.7595, -0.6726, -0.5435, -1.4321, -1.3030, -0.8713, -0.7423, -2.3187, -2.4477, -1.4332,  0.5608,  0.7806,  0.4059,  0.1617,  0.1622
   6.7500,  8.8350,  8.7250,  7.6700,  6.1700,  4.5000, -0.2818, -0.1547, -0.2712, -0.3065, -0.1794, -0.0106,  0.1164,  0.4946, -1.0986, -0.9695, -1.5932, -1.4642, -1.2974, -1.1683, -2.6856, -2.8147, -1.4206,  0.2958,  0.5093,  0.4080,  0.1635,  0.1624
