,C,CA,CB,CD,CD1,CD2,CE,CE1,CE2,CE3,CG,CG1,CG2,CH2,CZ,CZ2,CZ3,H,HA,H1,H2,H3,HA2,HA3,HB,HB1,HB2,HB3,HD1,HD11,HD12,HD13,HD2,HD21,HD22,HD23,HD3,HE,HE1,HE2,HE21,HE22,HE3,HG,HG1,HG11,HG12,HG13,HG2,HG21,HG22,HG23,HG3,HH,HH11,HH12,HH2,HH21,HH22,HZ,HZ1,HZ2,HZ3,N,ND1,ND2,NE,NE1,NE2,NH1,NH2,NZ,O,OD1,OD2,OE1,OE2,OG,OG1,OH,OXT,SD,SG
GLY,C,C,,,,,,,,,,,,,,,,H,,,,,H1,H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N2m,,,,,,,,,O,,,,,,,,,,
ALA,C,C,C,,,,,,,,,,,,,,,H,H1,,,,,,,HC,HC,HC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N2m,,,,,,,,,O,,,,,,,,,,
ASP,C,C,C,,,,,,,,C,,,,,,,H,H1,,,,,,,,HC,HC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N2m,,,,,,,,,O,O,O,,,,,,,,
GLU,C,C,C,C,,,,,,,C,,,,,,,H,H1,,,,,,,,HC,HC,,,,,,,,,,,,,,,,,,,,,HC,,,,HC,,,,,,,,,,,N2m,,,,,,,,,O,,,O,O,,,,,,
LEU,C,C,C,,C,C,,,,,C,,,,,,,H,H1,,,,,,,,HC,HC,,HC,HC,HC,,HC,HC,HC,HC,,,,,,,HC,,,,,,,,,,,,,,,,,,,,N2m,N2m,,,,,,,,O,O,,,,,,,,,
ASN,C,C,C,,,,,,,,C,,,,,,,H,H1,,,,,,,,HC,HC,,,,,,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N2m,,N2m,,,,,,,O,O,,,,,,,,,
GLN,C,C,C,C,,,,,,,C,,,,,,,H,H1,,,,,,,,HC,HC,,,,,,,,,,,,,H,H,,,,,,,HC,,,,HC,,,,,,,,,,,N2m,,,,,N2m,,,,O,,,O,,,,,,,
ILE,C,C,C,,C,,,,,,,C,C,,,,,H,H1,,,,,,HC,,,,,HC,HC,HC,,,,,,,,,,,,,,,HC,HC,,HC,HC,HC,,,,,,,,,,,,N2m,,,,,,,,,O,,,,,,,,,,
VAL,C,C,C,,,,,,,,,C,C,,,,,H,H1,,,,,,HC,,,,,,,,,,,,,,,,,,,,,HC,HC,HC,,HC,HC,HC,,,,,,,,,,,,N2m,,,,,,,,,O,,,,,,,,,,
SER,C,C,C,,,,,,,,,,,,,,,H,H1,,,,,,,,H1,H1,,,,,,,,,,,,,,,,HO,,,,,,,,,,,,,,,,,,,,N2m,,,,,,,,,O,,,,,OH,,,,,
THR,C,C,C,,,,,,,,,,C,,,,,H,H1,,,,,,H1,,,,,,,,,,,,,,,,,,,,HO,,,,,HC,HC,HC,,,,,,,,,,,,N2m,,,,,,,,,O,,,,,,OH,,,,
CYS,C,C,C,,,,,,,,,,,,,,,H,H1,,,,,,,H1,H1,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,N2m,,,,,,,,,O,,,,,,,,,,S
