,C,CA,CB,CD,CD1,CD2,CE,CE1,CE2,CE3,CG,CG1,CG2,CH2,CZ,CZ2,CZ3,H,HA,H1,H2,H3,HA2,HA3,HB,HB1,HB2,HB3,HD1,HD11,HD12,HD13,HD2,HD21,HD22,HD23,HD3,HE,HE1,HE2,HE21,HE22,HE3,HG,HG1,HG11,HG12,HG13,HG2,HG21,HG22,HG23,HG3,HH,HH11,HH12,HH2,HH21,HH22,HZ,HZ1,HZ2,HZ3,N,ND1,ND2,NE,NE1,NE2,NH1,NH2,NZ,O,OD1,OD2,OE1,OE2,OG,OG1,OH,OXT,SD,SG
PRO,C,C,C,C,,,,,,,C,,,,,,,H,H1,,,,,,,,HC,HC,,,,,H1,,,,H1,,,,,,,,,,,,HC,,,,HC,,,,,,,,,,,N2m,,,,,,,,,O,,,,,,,,,,
ARG,C,C,C,C,,,,,,,C,,,,C,,,H,H1,,,,,,,,HC,HC,,,,,H1,,,,H1,H,,,,,,,,,,,HC,,,,HC,,H,H,,H,H,,,,,N2m,,,N2m,,,N2m,N2m,,O,,,,,,,,,,
LYS,C,C,C,C,,,C,,,,C,,,,,,,H,H1,,,,,,,,HC,HC,,,,,HC,,,,HC,,,HP,,,HP,,,,,,HC,,,,HC,,,,,,,,H,H,H,N2m,,,,,,,,N3n,O,,,,,,,,,,
HIE,C,C,C,,,C,,C,,,C,,,,,,,H,H1,,,,,,,,HC,HC,H,,,,H4,,,,,,H5,H,,,,,,,,,,,,,,,,,,,,,,,,N2m,N2m,,,,N2m,,,,O,,,,,,,,,,
HID,C,C,C,,,C,,C,,,C,,,,,,,H,H1,,,,,,,,HC,HC,H,,,,H4,,,,,,H5,,,,,,,,,,,,,,,,,,,,,,,,,N2m,N2m,,,,N2m,,,,O,,,,,,,,,,
MET,C,C,C,,,,C,,,,C,,,,,,,H,H1,,,,,,,,HC,HC,,,,,,,,,,,H1,H1,,,H1,,,,,,H1,,,,H1,,,,,,,,,,,N2m,,,,,,,,,O,,,,,,,,,S,
PHE,C,C,C,,C,C,,C,C,,C,,,,C,,,H,H1,,,,,,,,HC,HC,HA,,,,HA,,,,,,HA,HA,,,,,,,,,,,,,,,,,,,,HA,,,,N2m,,,,,,,,,O,,,,,,,,,,
TYR,C,C,C,,C,C,,C,C,,C,,,,C,,,H,H1,,,,,,,,HC,HC,HA,,,,HA,,,,,,HA,HA,,,,,,,,,,,,,,HO,,,,,,,,,,N2m,,,,,,,,,O,,,,,,,OH,,,
TRP,C,C,C,,C,C,,,C,C,C,,,C,,C,C,H,H1,,,,,,,,HC,HC,H4,,,,,,,,,,H,,,,HA,,,,,,,,,,,,,,HA,,,,,HA,HA,N2m,,,,N2m,,,,,O,,,,,,,,,,
CTER,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,O,,
NTER,,CA,,,,,,,,,,,,,,,,,HP,H,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N3n,,,,,,,,,,,,,,,,,,,
